date,cat_family
2011m1,-.0644662
2011m2,-.3911414
2011m3,-.4868499
2011m4,-.461435
2011m5,-.6005597
2011m6,-.776948
2011m7,-.6197432
2011m8,-.103902
2011m9,.3220917
2011m10,.5876462
2011m11,.5781986
2011m12,.1153317
2012m1,-.5608801
2012m2,-.9298366
2012m3,-1.269707
2012m4,-1.361475
2012m5,-1.441461
2012m6,-1.505207
2012m7,-1.146463
2012m8,-.5245884
2012m9,.0683565
2012m10,.508452
2012m11,.6070169
2012m12,.4116481
2013m1,.2510646
2013m2,.0510533
2013m3,.0478286
2013m4,-.4580122
2013m5,-1.0803
2013m6,-1.376666
2013m7,-1.034148
2013m8,-.1809074
2013m9,.4847291
2013m10,.6496754
2013m11,.6731557
2013m12,.3423169
2014m1,-.0403839
2014m2,-.2965719
2014m3,-.4025682
2014m4,-.6204439
2014m5,-.9541573
2014m6,-.9737324
2014m7,-.5750669
2014m8,.1885928
2014m9,.8319601
2014m10,1.182244
2014m11,1.07438
2014m12,.8224277
2015m1,.6059456
2015m2,.5092261
2015m3,.2905092
2015m4,-.1941853
2015m5,-.774975
2015m6,-.5652733
2015m7,.2967084
2015m8,1.208676
2015m9,1.59244
2015m10,1.576
2015m11,1.500173
2015m12,1.231292
2016m1,1.033154
2016m2,.9018943
2016m3,.7081582
2016m4,.5197058
