date,cat_financial_security
2008m1,-.0729123
2008m2,-.7288104
2008m3,-1.097835
2008m4,-1.120416
2008m5,-1.070618
2008m6,-1.143293
2008m7,-1.40314
2008m8,-1.48321
2008m9,-1.315959
2008m10,-1.106259
2008m11,-1.148459
2008m12,-1.303679
2009m1,-1.285199
2009m2,-1.225205
2009m3,-1.330517
2009m4,-1.485624
2009m5,-1.487335
2009m6,-1.531413
2009m7,-1.410491
2009m8,-1.195873
2009m9,-.8657028
2009m10,-.3111509
2009m11,-.0827687
2009m12,.1417181
2010m1,.7074131
2010m2,1.07164
2010m3,1.306845
2010m4,1.372681
2010m5,1.176636
2010m6,.7866474
2010m7,.5013813
2010m8,.224299
2010m9,.0168791
2010m10,-.1885297
2010m11,-.2656662
2010m12,.1037183
2011m1,.5798386
2011m2,.6087537
2011m3,.3741531
2011m4,.1822016
2011m5,-.0269777
2011m6,.1277954
2011m7,.2972741
2011m8,.251592
2011m9,-.278446
2011m10,-.7398583
2011m11,-1.039871
2011m12,-.9693233
2012m1,-.7936853
2012m2,-.854089
2012m3,-1.041959
2012m4,-1.05337
2012m5,-.9034765
2012m6,-.6659753
2012m7,-.4789104
2012m8,-.5311524
2012m9,-.6000733
2012m10,-.5360025
2012m11,-.3982162
2012m12,.0160507
2013m1,.6502416
2013m2,.7946001
2013m3,.7791815
2013m4,.5207258
2013m5,.1833376
2013m6,.0489706
2013m7,.022368
2013m8,-.0513369
2013m9,-.1539046
2013m10,-.0451514
2013m11,.1392224
2013m12,.4324875
2014m1,.8621303
2014m2,.9615734
2014m3,.7970887
2014m4,.6632696
2014m5,.4850145
2014m6,.4878689
2014m7,.3907109
2014m8,.2816303
2014m9,.2855745
2014m10,.3885165
2014m11,.5792259
2014m12,.9535546
2015m1,1.382123
2015m2,1.534367
2015m3,1.379807
2015m4,1.036242
2015m5,.6277042
2015m6,.5898946
2015m7,.6209829
2015m8,.4161186
2015m9,.220108
2015m10,.2552254
2015m11,.5050003
2015m12,1.028783
2016m1,1.567701
2016m2,1.656937
2016m3,1.662679
2016m4,1.78336
