region,date,islam
Alsace,2013m1,-.53723526
Alsace,2013m2,-.1102943
Alsace,2013m3,.099401072
Alsace,2013m4,-.66650414
Alsace,2013m5,.13484079
Alsace,2013m6,-.38594595
Alsace,2013m7,-.36175114
Alsace,2013m8,.05934323
Alsace,2013m9,-.51788974
Alsace,2013m10,-.523476
Alsace,2013m11,-.95096457
Alsace,2013m12,-.93529594
Alsace,2014m1,-.22824442
Alsace,2014m2,-.86773789
Alsace,2014m3,-.94911093
Alsace,2014m4,-.42779171
Alsace,2014m5,-.030254349
Alsace,2014m6,-.86355168
Alsace,2014m7,.073479474
Alsace,2014m8,-.62475502
Alsace,2014m9,-.32568491
Alsace,2014m10,-.18576597
Alsace,2014m11,-.75546545
Alsace,2014m12,.42374015
Alsace,2015m1,2.4174442
Alsace,2015m2,.44423962
Alsace,2015m3,.051398594
Alsace,2015m4,-.40737763
Alsace,2015m5,-.15215299
Alsace,2015m6,-.088403031
Alsace,2015m7,.065667644
Alsace,2015m8,-.16218103
Alsace,2015m9,-.030228503
Alsace,2015m10,.4207834
Alsace,2015m11,1.9985503
Alsace,2015m12,1.0177932
Alsace,2016m1,.67506909
Alsace,2016m2,.44282711
Alsace,2016m3,-.11814483
Alsace,2016m4,.19146329
Alsace,2016m5,-.10432623
Alsace,2016m6,-.39002877
Alsace,2016m7,.93007094
Alsace,2016m8,.91259265
Alsace,2016m9,1.1560775
Alsace,2016m10,.19987628
Alsace,2016m11,.47415715
Alsace,2016m12,.1756122
Alsace,2017m1,.05902819
Alsace,2017m2,.078179553
Alsace,2017m3,-1.1521235
