region,date,valeurs_république
Alsace,2013m1,-.040691309
Alsace,2013m2,-.25973365
Alsace,2013m3,-.44298288
Alsace,2013m4,-.24934527
Alsace,2013m5,-.19264837
Alsace,2013m6,-.59831363
Alsace,2013m7,-1.0076195
Alsace,2013m8,-1.179907
Alsace,2013m9,.012989013
Alsace,2013m10,-.14996311
Alsace,2013m11,.30859444
Alsace,2013m12,-.087669455
Alsace,2014m1,-.00324242
Alsace,2014m2,.37097788
Alsace,2014m3,.38169673
Alsace,2014m4,-.11520021
Alsace,2014m5,-.073450997
Alsace,2014m6,-.59002417
Alsace,2014m7,-.99592233
Alsace,2014m8,-.67896223
Alsace,2014m9,-.2383047
Alsace,2014m10,.093793668
Alsace,2014m11,.07609842
Alsace,2014m12,-.31221685
Alsace,2015m1,1.0534203
Alsace,2015m2,.46338373
Alsace,2015m3,.35930055
Alsace,2015m4,-.067966737
Alsace,2015m5,.040238008
Alsace,2015m6,-.23462442
Alsace,2015m7,-.77221984
Alsace,2015m8,-.53337526
Alsace,2015m9,.64679337
Alsace,2015m10,.33211485
Alsace,2015m11,1.1210538
Alsace,2015m12,.52560723
Alsace,2016m1,.89460528
Alsace,2016m2,.25681019
Alsace,2016m3,.0034289192
Alsace,2016m4,.67336929
Alsace,2016m5,.12927787
Alsace,2016m6,.0049367016
Alsace,2016m7,-.74024975
Alsace,2016m8,-.3153134
Alsace,2016m9,.14484233
Alsace,2016m10,.63804668
Alsace,2016m11,.85595369
Alsace,2016m12,-.22331293
Alsace,2017m1,.27486229
Alsace,2017m2,.24590221
Alsace,2017m3,.24168453
