date,swb_sadness
2011m1,.4270701
2011m2,.6672816
2011m3,.7092348
2011m4,.5862723
2011m5,.1767508
2011m6,-.5421538
2011m7,-.8274491
2011m8,-.5158889
2011m9,-.373027
2011m10,-.3520388
2011m11,-.1621152
2011m12,.1217505
2012m1,.3534311
2012m2,.31252
2012m3,-.0516632
2012m4,-.5743737
2012m5,-.7968082
2012m6,-.7213005
2012m7,-.6019976
2012m8,-.1156342
2012m9,.299446
2012m10,.6103042
2012m11,1.034806
2012m12,1.264519
2013m1,1.126183
2013m2,.7469864
2013m3,.3528625
2013m4,-.1078008
2013m5,-.2888562
2013m6,-.4891371
2013m7,-.4327282
2013m8,-.0548495
2013m9,.1790676
2013m10,.2481154
2013m11,.3232723
2013m12,.1460218
2014m1,-.0166758
2014m2,-.304714
2014m3,-.596288
2014m4,-.7570717
2014m5,-.8324402
2014m6,-.8672545
2014m7,-.4680364
2014m8,.3297774
2014m9,.6059445
2014m10,.4779548
2014m11,.1392092
2014m12,-.2232545
2015m1,-.5424999
2015m2,-.9375011
2015m3,-1.184421
2015m4,-1.190335
2015m5,-1.389035
2015m6,-1.691008
2015m7,-1.463923
2015m8,-.7623233
2015m9,-.295575
2015m10,-.2423809
2015m11,-.2564051
2015m12,-.3113185
2016m1,-.7234325
2016m2,-1.426418
2016m3,-2.251603
2016m4,-3.542941
