region,date,mal_etre
Aquitaine,2013m1,-.18820229
Aquitaine,2013m2,-.23004606
Aquitaine,2013m3,-.26714003
Aquitaine,2013m4,-.32504541
Aquitaine,2013m5,-.6893664
Aquitaine,2013m6,-.63747221
Aquitaine,2013m7,-1.1636041
Aquitaine,2013m8,-.88754797
Aquitaine,2013m9,-.2166004
Aquitaine,2013m10,-.3362053
Aquitaine,2013m11,-.37171733
Aquitaine,2013m12,-.77641189
Aquitaine,2014m1,.040566783
Aquitaine,2014m2,.017335795
Aquitaine,2014m3,-.31114823
Aquitaine,2014m4,-.31002897
Aquitaine,2014m5,-.22042845
Aquitaine,2014m6,-.25924557
Aquitaine,2014m7,-.79097217
Aquitaine,2014m8,-.51509458
Aquitaine,2014m9,.11995634
Aquitaine,2014m10,.24534102
Aquitaine,2014m11,.12467296
Aquitaine,2014m12,-.23965032
Aquitaine,2015m1,.1751041
Aquitaine,2015m2,.092403263
Aquitaine,2015m3,.22792226
Aquitaine,2015m4,.012046788
Aquitaine,2015m5,-.17567082
Aquitaine,2015m6,-.11565743
Aquitaine,2015m7,-.18101864
Aquitaine,2015m8,-.21394314
Aquitaine,2015m9,.36382419
Aquitaine,2015m10,.45921218
Aquitaine,2015m11,.13731129
Aquitaine,2015m12,.061241835
Aquitaine,2016m1,.80392873
Aquitaine,2016m2,.63335329
Aquitaine,2016m3,.76247489
Aquitaine,2016m4,.42298356
Aquitaine,2016m5,.26040986
Aquitaine,2016m6,.35425922
Aquitaine,2016m7,-.035571802
Aquitaine,2016m8,-.070958175
Aquitaine,2016m9,.51964903
Aquitaine,2016m10,.3710725
Aquitaine,2016m11,.66202253
Aquitaine,2016m12,.26856771
Aquitaine,2017m1,1.1017884
Aquitaine,2017m2,.71672678
Aquitaine,2017m3,1.2456399
