region,date,recherche_emploi
Aquitaine,2013m1,.71144176
Aquitaine,2013m2,.66427577
Aquitaine,2013m3,.85493714
Aquitaine,2013m4,.33377644
Aquitaine,2013m5,-.073473223
Aquitaine,2013m6,.2920365
Aquitaine,2013m7,-.81829214
Aquitaine,2013m8,-1.4820879
Aquitaine,2013m9,.85352945
Aquitaine,2013m10,.50800151
Aquitaine,2013m11,.50048983
Aquitaine,2013m12,-.63158751
Aquitaine,2014m1,1.1531601
Aquitaine,2014m2,.81137538
Aquitaine,2014m3,1.3392243
Aquitaine,2014m4,.065698765
Aquitaine,2014m5,.19147465
Aquitaine,2014m6,-.045368716
Aquitaine,2014m7,-1.0738258
Aquitaine,2014m8,-1.3275967
Aquitaine,2014m9,.60743773
Aquitaine,2014m10,.70669872
Aquitaine,2014m11,.205165
Aquitaine,2014m12,-.92690176
Aquitaine,2015m1,.81161571
Aquitaine,2015m2,1.2839123
Aquitaine,2015m3,1.5654474
Aquitaine,2015m4,.39305988
Aquitaine,2015m5,-.091558628
Aquitaine,2015m6,.47162291
Aquitaine,2015m7,-.39314729
Aquitaine,2015m8,-.76110154
Aquitaine,2015m9,.96678483
Aquitaine,2015m10,.91642809
Aquitaine,2015m11,.0199097
Aquitaine,2015m12,-1.1259806
Aquitaine,2016m1,.94227827
Aquitaine,2016m2,1.063621
Aquitaine,2016m3,1.1318333
Aquitaine,2016m4,-.13108408
Aquitaine,2016m5,-.3586894
Aquitaine,2016m6,-.94504863
Aquitaine,2016m7,-2.0702159
Aquitaine,2016m8,-2.0187094
Aquitaine,2016m9,-.10673214
Aquitaine,2016m10,-.76446271
Aquitaine,2016m11,-.90442026
Aquitaine,2016m12,-1.8886606
Aquitaine,2017m1,-.67093104
Aquitaine,2017m2,-.4170948
Aquitaine,2017m3,.0036817789
