region,date,travail
Aquitaine,2013m1,.71937591
Aquitaine,2013m2,.84923065
Aquitaine,2013m3,1.235306
Aquitaine,2013m4,.92521584
Aquitaine,2013m5,.37602681
Aquitaine,2013m6,.40946856
Aquitaine,2013m7,-.49487105
Aquitaine,2013m8,-1.3574708
Aquitaine,2013m9,.81349736
Aquitaine,2013m10,.57319629
Aquitaine,2013m11,.46007046
Aquitaine,2013m12,-1.2350844
Aquitaine,2014m1,.40804952
Aquitaine,2014m2,.32620695
Aquitaine,2014m3,.87062973
Aquitaine,2014m4,.10064673
Aquitaine,2014m5,-.030156257
Aquitaine,2014m6,-.0036440224
Aquitaine,2014m7,-1.3667923
Aquitaine,2014m8,-1.6637715
Aquitaine,2014m9,-.21028341
Aquitaine,2014m10,.17072499
Aquitaine,2014m11,.25119722
Aquitaine,2014m12,-.37986127
Aquitaine,2015m1,.85347199
Aquitaine,2015m2,1.7160904
Aquitaine,2015m3,1.4593898
Aquitaine,2015m4,.97012383
Aquitaine,2015m5,.19949739
Aquitaine,2015m6,.82033986
Aquitaine,2015m7,-.46372947
Aquitaine,2015m8,-1.2716991
Aquitaine,2015m9,.4161092
Aquitaine,2015m10,.93779063
Aquitaine,2015m11,.15417907
Aquitaine,2015m12,-.73500258
Aquitaine,2016m1,.7809965
Aquitaine,2016m2,.6632542
Aquitaine,2016m3,1.0238042
Aquitaine,2016m4,.0063974895
Aquitaine,2016m5,-.22224149
Aquitaine,2016m6,-1.0819883
Aquitaine,2016m7,-2.0391574
Aquitaine,2016m8,-2.0993958
Aquitaine,2016m9,-.53795522
Aquitaine,2016m10,-.53018612
Aquitaine,2016m11,-.68063843
Aquitaine,2016m12,-1.2933787
Aquitaine,2017m1,-.48331997
Aquitaine,2017m2,-.0039452873
Aquitaine,2017m3,.38572949
