date,cat_personal_security
2011m1,-.2074948
2011m2,-.3700376
2011m3,-.4883319
2011m4,-.5865898
2011m5,-.7305515
2011m6,-.9816566
2011m7,-.8544998
2011m8,-.5725185
2011m9,-.2014164
2011m10,-.1123331
2011m11,-.0027107
2011m12,-.092335
2012m1,-.1855206
2012m2,-.1403793
2012m3,-.2251288
2012m4,-.3454419
2012m5,-.4774324
2012m6,-.4474472
2012m7,-.1948131
2012m8,-.3917176
2012m9,-.2147833
2012m10,.3831551
2012m11,1.381713
2012m12,2.506773
2013m1,2.510726
2013m2,1.744695
2013m3,1.135081
2013m4,.9629691
2013m5,.459307
2013m6,-.1992188
2013m7,-.4999171
2013m8,-.6845287
2013m9,-.624113
2013m10,-.5854153
2013m11,-.4647992
2013m12,-.551372
2014m1,-.658851
2014m2,-.6902938
2014m3,-.622624
2014m4,-.4828802
2014m5,-.5218434
2014m6,-.6854487
2014m7,-.6096764
2014m8,-.3392209
2014m9,-.1077805
2014m10,-.057083
2014m11,-.0940624
2014m12,-.0924889
2015m1,-.0684598
2015m2,-.1514301
2015m3,-.1154769
2015m4,-.1145922
2015m5,-.1653147
2015m6,-.0381441
2015m7,.0562697
2015m8,.1166303
2015m9,.4247847
2015m10,.9261229
2015m11,1.437972
2015m12,1.254327
2016m1,.5314111
2016m2,.0850148
2016m3,.2303257
2016m4,.900897
