region,date,christianisme
Bretagne,2013m1,-.60323542
Bretagne,2013m2,-.35878271
Bretagne,2013m3,-.11554665
Bretagne,2013m4,-.70580155
Bretagne,2013m5,-.43510497
Bretagne,2013m6,-.56694186
Bretagne,2013m7,-.77875262
Bretagne,2013m8,-.55655956
Bretagne,2013m9,-.58504206
Bretagne,2013m10,-.60897768
Bretagne,2013m11,-.29273129
Bretagne,2013m12,.38980719
Bretagne,2014m1,-.26235193
Bretagne,2014m2,.34142631
Bretagne,2014m3,-.42364416
Bretagne,2014m4,.3926281
Bretagne,2014m5,.13448
Bretagne,2014m6,-.25732991
Bretagne,2014m7,-.56786209
Bretagne,2014m8,-.29288328
Bretagne,2014m9,-.52771324
Bretagne,2014m10,.090255223
Bretagne,2014m11,.012167009
Bretagne,2014m12,1.0885633
Bretagne,2015m1,1.0892826
Bretagne,2015m2,.47588381
Bretagne,2015m3,.37089592
Bretagne,2015m4,.48569283
Bretagne,2015m5,.12022623
Bretagne,2015m6,-.049874816
Bretagne,2015m7,-.44457275
Bretagne,2015m8,-.0053433613
Bretagne,2015m9,.050798826
Bretagne,2015m10,-.50461447
Bretagne,2015m11,.42136958
Bretagne,2015m12,1.0171621
Bretagne,2016m1,.38576016
Bretagne,2016m2,-.35061672
Bretagne,2016m3,.38377553
Bretagne,2016m4,.31135109
Bretagne,2016m5,.17456338
Bretagne,2016m6,-.14775728
Bretagne,2016m7,-.58900237
Bretagne,2016m8,.43942082
Bretagne,2016m9,.078743011
Bretagne,2016m10,.029893601
Bretagne,2016m11,.10770458
Bretagne,2016m12,.70043588
Bretagne,2017m1,.094255589
Bretagne,2017m2,.53507948
Bretagne,2017m3,.73562068
