region,date,crime
Bretagne,2013m1,-.17568177
Bretagne,2013m2,-.42405125
Bretagne,2013m3,-.56154794
Bretagne,2013m4,-1.0269842
Bretagne,2013m5,-.67416149
Bretagne,2013m6,-.4281078
Bretagne,2013m7,-.68378496
Bretagne,2013m8,-.75473535
Bretagne,2013m9,-.22465712
Bretagne,2013m10,-.32986233
Bretagne,2013m11,-.48516828
Bretagne,2013m12,-.4470365
Bretagne,2014m1,-.013270214
Bretagne,2014m2,-.23319931
Bretagne,2014m3,.38434312
Bretagne,2014m4,-.3911494
Bretagne,2014m5,-.49404365
Bretagne,2014m6,-.46081308
Bretagne,2014m7,-1.0165989
Bretagne,2014m8,-.62926042
Bretagne,2014m9,.21955505
Bretagne,2014m10,-.071305439
Bretagne,2014m11,-.18411744
Bretagne,2014m12,-.71964186
Bretagne,2015m1,.42774239
Bretagne,2015m2,.95399934
Bretagne,2015m3,.33234203
Bretagne,2015m4,-.050271515
Bretagne,2015m5,.12588456
Bretagne,2015m6,-.064514063
Bretagne,2015m7,-.38138676
Bretagne,2015m8,-.60622805
Bretagne,2015m9,.41815165
Bretagne,2015m10,.28348297
Bretagne,2015m11,1.3485247
Bretagne,2015m12,-.38725799
Bretagne,2016m1,.76870286
Bretagne,2016m2,.33346123
Bretagne,2016m3,.47262493
Bretagne,2016m4,.076244034
Bretagne,2016m5,.84909326
Bretagne,2016m6,.57942843
Bretagne,2016m7,-.23970586
Bretagne,2016m8,-.52919632
Bretagne,2016m9,.87448061
Bretagne,2016m10,1.1211542
Bretagne,2016m11,1.0160896
Bretagne,2016m12,.25459021
Bretagne,2017m1,.8498311
Bretagne,2017m2,.53107578
Bretagne,2017m3,-.15316732
