date,swb_security
2011m1,-.157088
2011m2,-.1209724
2011m3,-.0423224
2011m4,.075153
2011m5,.3507325
2011m6,.556638
2011m7,.5408273
2011m8,.2137357
2011m9,-.1560068
2011m10,-.4234638
2011m11,-.3807174
2011m12,-.0824464
2012m1,.5087875
2012m2,1.018915
2012m3,1.472579
2012m4,1.816622
2012m5,1.997227
2012m6,1.838394
2012m7,1.521861
2012m8,.7223803
2012m9,-.0999299
2012m10,-.4643436
2012m11,-.357808
2012m12,.150139
2013m1,.8436034
2013m2,1.486296
2013m3,1.867835
2013m4,2.196923
2013m5,2.391153
2013m6,2.521385
2013m7,2.526515
2013m8,2.275475
2013m9,1.715149
2013m10,1.344697
2013m11,1.208587
2013m12,1.275071
2014m1,1.607775
2014m2,1.99364
2014m3,2.179992
2014m4,2.355343
2014m5,2.549968
2014m6,2.529403
2014m7,2.377223
2014m8,2.052304
2014m9,1.641379
2014m10,1.441327
2014m11,1.461996
2014m12,1.615987
2015m1,1.849188
2015m2,1.99209
2015m3,2.046839
2015m4,2.154246
2015m5,2.33659
2015m6,2.440807
2015m7,2.292501
2015m8,1.927268
2015m9,1.543323
2015m10,1.414133
2015m11,1.310662
2015m12,1.318868
2016m1,1.561566
2016m2,1.93843
2016m3,2.069505
2016m4,1.88349
