region,date,crime
Centre,2013m1,.056334596
Centre,2013m2,-.17453425
Centre,2013m3,-.10344934
Centre,2013m4,-.27789518
Centre,2013m5,-.46367341
Centre,2013m6,-.91360658
Centre,2013m7,-1.0286387
Centre,2013m8,-1.1405308
Centre,2013m9,-.11657255
Centre,2013m10,-.57393926
Centre,2013m11,-.43859994
Centre,2013m12,-.54193735
Centre,2014m1,.34246925
Centre,2014m2,.017890729
Centre,2014m3,-.044253804
Centre,2014m4,-.41823226
Centre,2014m5,-.68167216
Centre,2014m6,-.4791736
Centre,2014m7,-.15069412
Centre,2014m8,-.27708539
Centre,2014m9,.25239944
Centre,2014m10,.10600729
Centre,2014m11,-.015199927
Centre,2014m12,-.16520095
Centre,2015m1,.4639844
Centre,2015m2,.90358394
Centre,2015m3,.50328803
Centre,2015m4,.071404204
Centre,2015m5,-.6771363
Centre,2015m6,-.058824144
Centre,2015m7,-.19874723
Centre,2015m8,-.54983795
Centre,2015m9,-.017107826
Centre,2015m10,.39799637
Centre,2015m11,1.6994098
Centre,2015m12,-.039571431
Centre,2016m1,.5575211
Centre,2016m2,.015967268
Centre,2016m3,.33989525
Centre,2016m4,-.34144521
Centre,2016m5,.10212217
Centre,2016m6,-.21006878
Centre,2016m7,-.23393671
Centre,2016m8,-.65979278
Centre,2016m9,.92945427
Centre,2016m10,.77977324
Centre,2016m11,.93845153
Centre,2016m12,.25802919
Centre,2017m1,.82207781
Centre,2017m2,.77704018
Centre,2017m3,1.0846817
