region,date,crime
Champagne-Ardenne,2013m1,.29531482
Champagne-Ardenne,2013m2,-.079695016
Champagne-Ardenne,2013m3,-.18673784
Champagne-Ardenne,2013m4,-.33359927
Champagne-Ardenne,2013m5,-.75515294
Champagne-Ardenne,2013m6,-.94635803
Champagne-Ardenne,2013m7,-.18622556
Champagne-Ardenne,2013m8,-.54561138
Champagne-Ardenne,2013m9,-.26011151
Champagne-Ardenne,2013m10,-.32778436
Champagne-Ardenne,2013m11,-.19526955
Champagne-Ardenne,2013m12,-.37622091
Champagne-Ardenne,2014m1,.5201447
Champagne-Ardenne,2014m2,-.07287547
Champagne-Ardenne,2014m3,-.19390491
Champagne-Ardenne,2014m4,-.60408455
Champagne-Ardenne,2014m5,-.4267844
Champagne-Ardenne,2014m6,-.38378546
Champagne-Ardenne,2014m7,-.69432962
Champagne-Ardenne,2014m8,-1.0696712
Champagne-Ardenne,2014m9,-.031253211
Champagne-Ardenne,2014m10,-.22177976
Champagne-Ardenne,2014m11,-.57439458
Champagne-Ardenne,2014m12,-.94054854
Champagne-Ardenne,2015m1,.19599697
Champagne-Ardenne,2015m2,.54171282
Champagne-Ardenne,2015m3,-.12793374
Champagne-Ardenne,2015m4,.10797653
Champagne-Ardenne,2015m5,-.26734531
Champagne-Ardenne,2015m6,.25632095
Champagne-Ardenne,2015m7,-.012425743
Champagne-Ardenne,2015m8,-.094499037
Champagne-Ardenne,2015m9,.4994027
Champagne-Ardenne,2015m10,.20739232
Champagne-Ardenne,2015m11,.97213751
Champagne-Ardenne,2015m12,.10221909
Champagne-Ardenne,2016m1,.24149518
Champagne-Ardenne,2016m2,.18591146
Champagne-Ardenne,2016m3,.42479825
Champagne-Ardenne,2016m4,.31609371
Champagne-Ardenne,2016m5,.69710606
Champagne-Ardenne,2016m6,-.2738964
Champagne-Ardenne,2016m7,.21065001
Champagne-Ardenne,2016m8,-.33118579
Champagne-Ardenne,2016m9,1.160743
Champagne-Ardenne,2016m10,.73841077
Champagne-Ardenne,2016m11,.92490852
Champagne-Ardenne,2016m12,-.08691521
Champagne-Ardenne,2017m1,.73662484
Champagne-Ardenne,2017m2,1.0740886
Champagne-Ardenne,2017m3,.97178757
