region,date,droite_id
Champagne-Ardenne,2013m1,.16000858
Champagne-Ardenne,2013m2,-.20486131
Champagne-Ardenne,2013m3,.4325105
Champagne-Ardenne,2013m4,-.23688717
Champagne-Ardenne,2013m5,.094973914
Champagne-Ardenne,2013m6,-.18150276
Champagne-Ardenne,2013m7,-1.0141901
Champagne-Ardenne,2013m8,-.68280935
Champagne-Ardenne,2013m9,.26769978
Champagne-Ardenne,2013m10,-.16631389
Champagne-Ardenne,2013m11,.23694193
Champagne-Ardenne,2013m12,-.61720276
Champagne-Ardenne,2014m1,.19633311
Champagne-Ardenne,2014m2,-.44700491
Champagne-Ardenne,2014m3,-.0099813193
Champagne-Ardenne,2014m4,.25001979
Champagne-Ardenne,2014m5,.6039061
Champagne-Ardenne,2014m6,-.041684318
Champagne-Ardenne,2014m7,-.87187672
Champagne-Ardenne,2014m8,-.71537066
Champagne-Ardenne,2014m9,.2400922
Champagne-Ardenne,2014m10,.11908486
Champagne-Ardenne,2014m11,-.024198994
Champagne-Ardenne,2014m12,-.35750559
Champagne-Ardenne,2015m1,.44089007
Champagne-Ardenne,2015m2,.65261948
Champagne-Ardenne,2015m3,.23584376
Champagne-Ardenne,2015m4,-.43219566
Champagne-Ardenne,2015m5,.36567771
Champagne-Ardenne,2015m6,-.11984373
Champagne-Ardenne,2015m7,-.6518324
Champagne-Ardenne,2015m8,-.43414778
Champagne-Ardenne,2015m9,.27528641
Champagne-Ardenne,2015m10,.55791378
Champagne-Ardenne,2015m11,-.012410087
Champagne-Ardenne,2015m12,-.31693691
Champagne-Ardenne,2016m1,.36724827
Champagne-Ardenne,2016m2,.097534582
Champagne-Ardenne,2016m3,.45257193
Champagne-Ardenne,2016m4,-.04993695
Champagne-Ardenne,2016m5,.30706221
Champagne-Ardenne,2016m6,-.12377032
Champagne-Ardenne,2016m7,-.65118235
Champagne-Ardenne,2016m8,-.61825448
Champagne-Ardenne,2016m9,.92551959
Champagne-Ardenne,2016m10,.98026592
Champagne-Ardenne,2016m11,.44296539
Champagne-Ardenne,2016m12,-.53139138
Champagne-Ardenne,2017m1,.33496866
Champagne-Ardenne,2017m2,.14737487
Champagne-Ardenne,2017m3,.43416393
