region,date,juifs
Champagne-Ardenne,2013m1,.64146435
Champagne-Ardenne,2013m2,.93216348
Champagne-Ardenne,2013m3,-.22804771
Champagne-Ardenne,2013m4,.081905767
Champagne-Ardenne,2013m5,.3051067
Champagne-Ardenne,2013m6,-.2235322
Champagne-Ardenne,2013m7,-1.0210874
Champagne-Ardenne,2013m8,1.1483016
Champagne-Ardenne,2013m9,-.62783372
Champagne-Ardenne,2013m10,-.18149306
Champagne-Ardenne,2013m11,.35008702
Champagne-Ardenne,2013m12,.90444887
Champagne-Ardenne,2014m1,2.1700606
Champagne-Ardenne,2014m2,.6359629
Champagne-Ardenne,2014m3,.039650612
Champagne-Ardenne,2014m4,.81504703
Champagne-Ardenne,2014m5,1.1708508
Champagne-Ardenne,2014m6,1.2061749
Champagne-Ardenne,2014m7,2.5025172
Champagne-Ardenne,2014m8,1.3374879
Champagne-Ardenne,2014m9,.061936878
Champagne-Ardenne,2014m10,-.70822358
Champagne-Ardenne,2014m11,-.083520383
Champagne-Ardenne,2014m12,.033974133
Champagne-Ardenne,2015m1,1.7010322
Champagne-Ardenne,2015m2,-.079295531
Champagne-Ardenne,2015m3,-.27528745
Champagne-Ardenne,2015m4,-.31643981
Champagne-Ardenne,2015m5,.047869742
Champagne-Ardenne,2015m6,-.14758939
Champagne-Ardenne,2015m7,-.0016777879
Champagne-Ardenne,2015m8,-1.0432308
Champagne-Ardenne,2015m9,-.64676845
Champagne-Ardenne,2015m10,-.63941431
Champagne-Ardenne,2015m11,-.64384663
Champagne-Ardenne,2015m12,-.83273387
Champagne-Ardenne,2016m1,-.49091274
Champagne-Ardenne,2016m2,-.7677201
Champagne-Ardenne,2016m3,-.46346173
Champagne-Ardenne,2016m4,-.40646195
Champagne-Ardenne,2016m5,-.76185983
Champagne-Ardenne,2016m6,-1.2836044
Champagne-Ardenne,2016m7,-.95499212
Champagne-Ardenne,2016m8,-.20785499
Champagne-Ardenne,2016m9,-1.1999933
Champagne-Ardenne,2016m10,-.23879802
Champagne-Ardenne,2016m11,-.012948394
Champagne-Ardenne,2016m12,-.73367965
Champagne-Ardenne,2017m1,.54676026
Champagne-Ardenne,2017m2,-.22613405
Champagne-Ardenne,2017m3,-1.3032525
