region,date,terrorisme
Champagne-Ardenne,2013m1,-.53671455
Champagne-Ardenne,2013m2,-.54713303
Champagne-Ardenne,2013m3,-.40543902
Champagne-Ardenne,2013m4,-.36291233
Champagne-Ardenne,2013m5,-.61426049
Champagne-Ardenne,2013m6,-.77147847
Champagne-Ardenne,2013m7,-.1886628
Champagne-Ardenne,2013m8,-.45974737
Champagne-Ardenne,2013m9,-.074303143
Champagne-Ardenne,2013m10,-.58752316
Champagne-Ardenne,2013m11,-.38769031
Champagne-Ardenne,2013m12,-.53664708
Champagne-Ardenne,2014m1,-.6651746
Champagne-Ardenne,2014m2,-.37805089
Champagne-Ardenne,2014m3,-.52625537
Champagne-Ardenne,2014m4,-.54694331
Champagne-Ardenne,2014m5,-.64368355
Champagne-Ardenne,2014m6,-.57219517
Champagne-Ardenne,2014m7,-.31934592
Champagne-Ardenne,2014m8,-.17311049
Champagne-Ardenne,2014m9,-.60127097
Champagne-Ardenne,2014m10,-.19902878
Champagne-Ardenne,2014m11,-.48786247
Champagne-Ardenne,2014m12,.28528899
Champagne-Ardenne,2015m1,2.2712944
Champagne-Ardenne,2015m2,-.0061641224
Champagne-Ardenne,2015m3,.095942065
Champagne-Ardenne,2015m4,.11187737
Champagne-Ardenne,2015m5,-.34363341
Champagne-Ardenne,2015m6,-.12915149
Champagne-Ardenne,2015m7,-.1140136
Champagne-Ardenne,2015m8,.12659828
Champagne-Ardenne,2015m9,-.20958447
Champagne-Ardenne,2015m10,-.32275939
Champagne-Ardenne,2015m11,4.3801222
Champagne-Ardenne,2015m12,.30152005
Champagne-Ardenne,2016m1,.076703198
Champagne-Ardenne,2016m2,.24218181
Champagne-Ardenne,2016m3,1.4411075
Champagne-Ardenne,2016m4,.13678154
Champagne-Ardenne,2016m5,-.15433687
Champagne-Ardenne,2016m6,.53508908
Champagne-Ardenne,2016m7,1.2985338
Champagne-Ardenne,2016m8,.45854324
Champagne-Ardenne,2016m9,-.23306569
Champagne-Ardenne,2016m10,.2187815
Champagne-Ardenne,2016m11,-.59106231
Champagne-Ardenne,2016m12,-.16010782
Champagne-Ardenne,2017m1,-.066060297
Champagne-Ardenne,2017m2,.041842591
Champagne-Ardenne,2017m3,.47529405
