date,swb_laugh
2008m1,-.8837681
2008m2,-.2381642
2008m3,.1175732
2008m4,.2959156
2008m5,.5097747
2008m6,.3485443
2008m7,.0560584
2008m8,-.1291711
2008m9,-.0417993
2008m10,.0656808
2008m11,.0682663
2008m12,-.3656424
2009m1,-1.359366
2009m2,-1.764956
2009m3,-1.600647
2009m4,-1.050336
2009m5,-.3219688
2009m6,.0442486
2009m7,.0552168
2009m8,.0993052
2009m9,.4178815
2009m10,.9315732
2009m11,.9262876
2009m12,.6038409
2010m1,.1258159
2010m2,.1600722
2010m3,.201181
2010m4,.4256855
2010m5,.3813726
2010m6,-.0592843
2010m7,-.2581878
2010m8,-.2480351
2010m9,.1690994
2010m10,.4135624
2010m11,.5827872
2010m12,.6494593
2011m1,.3912332
2011m2,.3482551
2011m3,.66417
2011m4,1.39915
2011m5,2.045172
2011m6,2.054973
2011m7,1.645478
2011m8,1.269845
2011m9,1.354228
2011m10,1.62468
2011m11,1.63043
2011m12,1.537917
2012m1,1.239472
2012m2,1.126154
2012m3,1.218813
2012m4,1.480874
2012m5,1.623221
2012m6,1.654701
2012m7,1.412488
2012m8,1.210796
2012m9,1.123702
2012m10,1.029568
2012m11,.9536668
2012m12,.4600706
2013m1,.1145623
2013m2,.3150195
2013m3,.7784585
2013m4,1.297184
2013m5,1.646026
2013m6,1.688589
2013m7,1.481883
2013m8,1.10398
2013m9,.9643341
2013m10,.9755925
2013m11,.9265303
2013m12,.5384242
2014m1,.0010531
2014m2,-.0715386
2014m3,.0632053
2014m4,.3004306
2014m5,.5872064
2014m6,.555314
2014m7,.3553561
2014m8,-.11644
2014m9,-.254324
2014m10,-.1105036
2014m11,.0479835
2014m12,.0270625
2015m1,-.3152591
2015m2,-.5000253
2015m3,-.3371437
2015m4,.0953605
2015m5,.4529728
2015m6,.5834643
2015m7,.3290209
2015m8,-.0312571
2015m9,-.1848559
2015m10,-.1462477
2015m11,-.0452505
2015m12,-.1171666
2016m1,-.5024964
2016m2,-.8164793
2016m3,-1.145454
2016m4,-1.21172
