date,swb_respect
2008m1,-.211362
2008m2,-.1807144
2008m3,-.4154187
2008m4,-.5657101
2008m5,-.7504162
2008m6,-.6152069
2008m7,.0510132
2008m8,.9539607
2008m9,1.551322
2008m10,1.612819
2008m11,1.375141
2008m12,1.151867
2009m1,1.327027
2009m2,1.212286
2009m3,1.165582
2009m4,1.40522
2009m5,1.221812
2009m6,1.135496
2009m7,1.434455
2009m8,1.690158
2009m9,1.655263
2009m10,1.145144
2009m11,.9461668
2009m12,1.207963
2010m1,1.988643
2010m2,2.447351
2010m3,2.949846
2010m4,2.888184
2010m5,2.593318
2010m6,2.346405
2010m7,2.204658
2010m8,1.873232
2010m9,1.673373
2010m10,1.419877
2010m11,1.358529
2010m12,1.742187
2011m1,2.549967
2011m2,2.721397
2011m3,2.561723
2011m4,2.184031
2011m5,1.953909
2011m6,1.862706
2011m7,1.667971
2011m8,1.695992
2011m9,1.896656
2011m10,2.002375
2011m11,2.217431
2011m12,2.367019
2012m1,2.292582
2012m2,2.262764
2012m3,2.238543
2012m4,1.940492
2012m5,1.740465
2012m6,1.528812
2012m7,1.424818
2012m8,1.616476
2012m9,1.746563
2012m10,1.788268
2012m11,1.722075
2012m12,1.395981
2013m1,1.340591
2013m2,1.409755
2013m3,1.444126
2013m4,1.503262
2013m5,1.67294
2013m6,1.762226
2013m7,1.747879
2013m8,1.846206
2013m9,2.083672
2013m10,2.255939
2013m11,2.381613
2013m12,2.459819
2014m1,2.583979
2014m2,2.297208
2014m3,1.865139
2014m4,1.557952
2014m5,1.431236
2014m6,1.269051
2014m7,1.294962
2014m8,1.462478
2014m9,1.591875
2014m10,1.433339
2014m11,1.305685
2014m12,1.250453
2015m1,1.378644
2015m2,1.498511
2015m3,1.47436
2015m4,1.258489
2015m5,1.124256
2015m6,.9783792
2015m7,.8495731
2015m8,.6093379
2015m9,.4286965
2015m10,.3189303
2015m11,.027712
2015m12,-.0789314
2016m1,.3320869
2016m2,.5760254
2016m3,.4828669
2016m4,-.0660725
