date,cat_financial_security
2008m1,-.0023907
2008m2,-.4924166
2008m3,-.8332474
2008m4,-1.036947
2008m5,-1.149388
2008m6,-1.119244
2008m7,-1.030587
2008m8,-1.039272
2008m9,-.9826168
2008m10,-1.06754
2008m11,-1.353388
2008m12,-1.284251
2009m1,-.8561739
2009m2,-.5694376
2009m3,-.577035
2009m4,-.7403166
2009m5,-.8511409
2009m6,-.769722
2009m7,-.7078356
2009m8,-.6639135
2009m9,-.6520011
2009m10,-.5213767
2009m11,-.5487116
2009m12,-.4269348
2010m1,.1171914
2010m2,.3718382
2010m3,.4328637
2010m4,.2852522
2010m5,-.0023717
2010m6,-.0596542
2010m7,.0615801
2010m8,.0973451
2010m9,-.0447204
2010m10,-.1432332
2010m11,-.3297828
2010m12,-.2998468
2011m1,-.0908528
2011m2,.0511571
2011m3,.0678331
2011m4,-.0735036
2011m5,-.2836446
2011m6,-.2521471
2011m7,-.0541005
2011m8,-.1156776
2011m9,-.4363585
2011m10,-.7373301
2011m11,-.8809344
2011m12,-.6204686
2012m1,-.0707179
2012m2,.2489395
2012m3,.2383513
2012m4,-.1199138
2012m5,-.4295803
2012m6,-.4358582
2012m7,-.3266027
2012m8,-.3605079
2012m9,-.6447333
2012m10,-1.001605
2012m11,-1.44893
2012m12,-1.62822
2013m1,-.9358243
2013m2,-.1254572
2013m3,.4078788
2013m4,.4771658
2013m5,.3002048
2013m6,.152839
2013m7,.0942511
2013m8,-.0332781
2013m9,-.1694205
2013m10,-.1825884
2013m11,-.2084219
2013m12,-.0336985
2014m1,.3506445
2014m2,.5356857
2014m3,.5129117
2014m4,.0958495
2014m5,-.4358215
2014m6,-.1483595
2014m7,.5734378
2014m8,.8955656
2014m9,.9198801
2014m10,.8511966
2014m11,.7442613
2014m12,.9215363
2015m1,1.319347
2015m2,1.588257
2015m3,1.756449
2015m4,1.715907
2015m5,1.571075
2015m6,1.749941
2015m7,1.787784
2015m8,1.478921
2015m9,.875314
2015m10,.4977859
2015m11,.3564335
2015m12,.5220043
2016m1,.9934175
2016m2,1.492693
2016m3,2.120188
2016m4,2.808878
