date,swb_sadness
2008m1,-.5126198
2008m2,-.2193394
2008m3,-.2640172
2008m4,-.4382546
2008m5,-.6110622
2008m6,-.7204604
2008m7,-.705711
2008m8,-.5251971
2008m9,-.3013101
2008m10,.1370649
2008m11,.8704588
2008m12,1.559861
2009m1,1.918077
2009m2,1.94265
2009m3,1.592685
2009m4,1.138589
2009m5,.9230995
2009m6,.8572616
2009m7,.9659033
2009m8,1.153568
2009m9,1.211694
2009m10,.9224378
2009m11,.6395649
2009m12,.3051898
2010m1,.0598556
2010m2,-.2807727
2010m3,-.8088856
2010m4,-1.26238
2010m5,-1.415312
2010m6,-1.12619
2010m7,-.8582425
2010m8,-.6487949
2010m9,-.2596067
2010m10,.1078743
2010m11,.289162
2010m12,.2071414
2011m1,-.1917303
2011m2,-.6400787
2011m3,-.9033045
2011m4,-.7981312
2011m5,-.551845
2011m6,-.4555821
2011m7,-.3377195
2011m8,-.2930262
2011m9,-.3429274
2011m10,-.406325
2011m11,-.3694046
2011m12,-.3170922
2012m1,-.4642936
2012m2,-.5872408
2012m3,-.8419497
2012m4,-1.127975
2012m5,-1.321456
2012m6,-1.335134
2012m7,-1.138859
2012m8,-.7925287
2012m9,-.2484086
2012m10,.2460978
2012m11,.3909351
2012m12,.2915294
2013m1,-.1298997
2013m2,-.480635
2013m3,-.7013157
2013m4,-.7931293
2013m5,-.897505
2013m6,-1.028801
2013m7,-1.172444
2013m8,-1.063869
2013m9,-.8583683
2013m10,-.7295169
2013m11,-.5069845
2013m12,-.4144562
2014m1,-.7345807
2014m2,-1.054195
2014m3,-1.289499
2014m4,-1.320182
2014m5,-1.202175
2014m6,-1.347978
2014m7,-1.6263
2014m8,-1.580502
2014m9,-1.307731
2014m10,-1.181333
2014m11,-1.255345
2014m12,-1.374045
2015m1,-1.666515
2015m2,-1.986366
2015m3,-2.147812
2015m4,-2.16148
2015m5,-2.163772
2015m6,-2.07702
2015m7,-1.971121
2015m8,-1.680035
2015m9,-1.302879
2015m10,-1.046387
2015m11,-.937517
2015m12,-1.199331
2016m1,-1.696265
2016m2,-1.872799
2016m3,-1.699786
2016m4,-1.238677
