region,date,immigration
Franche-Comte,2013m1,.20545712
Franche-Comte,2013m2,-.31351438
Franche-Comte,2013m3,-.51264554
Franche-Comte,2013m4,-.28786105
Franche-Comte,2013m5,-.32121831
Franche-Comte,2013m6,-.955899
Franche-Comte,2013m7,-.35947123
Franche-Comte,2013m8,-.80125523
Franche-Comte,2013m9,.13354294
Franche-Comte,2013m10,-.38561943
Franche-Comte,2013m11,-.22387853
Franche-Comte,2013m12,-.47135505
Franche-Comte,2014m1,.10591735
Franche-Comte,2014m2,-.058348056
Franche-Comte,2014m3,-.46966693
Franche-Comte,2014m4,.17588314
Franche-Comte,2014m5,.2469033
Franche-Comte,2014m6,-.52554655
Franche-Comte,2014m7,-.45399201
Franche-Comte,2014m8,-.72111082
Franche-Comte,2014m9,.42768049
Franche-Comte,2014m10,.058419321
Franche-Comte,2014m11,.14798205
Franche-Comte,2014m12,-.18769357
Franche-Comte,2015m1,.1319374
Franche-Comte,2015m2,-.20626611
Franche-Comte,2015m3,-.32353893
Franche-Comte,2015m4,-.51458603
Franche-Comte,2015m5,-.19218715
Franche-Comte,2015m6,-.39619148
Franche-Comte,2015m7,-.09268555
Franche-Comte,2015m8,.20287311
Franche-Comte,2015m9,2.1247098
Franche-Comte,2015m10,.32671696
Franche-Comte,2015m11,1.1834641
Franche-Comte,2015m12,-.016777888
Franche-Comte,2016m1,1.0127
Franche-Comte,2016m2,.29602742
Franche-Comte,2016m3,.68222314
Franche-Comte,2016m4,.2053183
Franche-Comte,2016m5,.43231583
Franche-Comte,2016m6,-.25751939
Franche-Comte,2016m7,-.21939324
Franche-Comte,2016m8,-.0018734857
Franche-Comte,2016m9,.24719545
Franche-Comte,2016m10,.66321033
Franche-Comte,2016m11,.4462069
Franche-Comte,2016m12,-.21649896
Franche-Comte,2017m1,.059528142
Franche-Comte,2017m2,.071788058
Franche-Comte,2017m3,.1777782
