date,cat_health_conditions
2011m1,-.428668
2011m2,.4753276
2011m3,.7810792
2011m4,.4980285
2011m5,-.160993
2011m6,-.7821931
2011m7,-1.016614
2011m8,-.7377521
2011m9,-.2689441
2011m10,-.1049685
2011m11,-.1557626
2011m12,-.2238487
2012m1,.2967752
2012m2,.987075
2012m3,1.195793
2012m4,.6018302
2012m5,-.3838703
2012m6,-1.058547
2012m7,-1.165301
2012m8,-.798022
2012m9,-.2891591
2012m10,-.0824771
2012m11,-.3490574
2012m12,-.8468793
2013m1,-.6706825
2013m2,-.1201117
2013m3,.3058517
2013m4,.3256614
2013m5,-.3181264
2013m6,-.893653
2013m7,-1.021692
2013m8,-.6986824
2013m9,-.1257225
2013m10,.2310983
2013m11,-.0592944
2013m12,-.5373603
2014m1,-.4369923
2014m2,.1410064
2014m3,.4440864
2014m4,.3553653
2014m5,-.1538991
2014m6,-.6068369
2014m7,-.7365499
2014m8,-.4787693
2014m9,.0673268
2014m10,.2992848
2014m11,.1329833
2014m12,-.1503473
2015m1,.0288438
2015m2,.5591487
2015m3,.8977653
2015m4,.6528165
2015m5,-.067163
2015m6,-.5019087
2015m7,-.4792123
2015m8,.0054595
2015m9,.6863085
2015m10,.9386117
2015m11,.6731786
2015m12,.3193755
2016m1,.6588695
2016m2,1.261681
2016m3,1.530447
2016m4,1.558983
