date,swb_happiness
2011m1,-1.207005
2011m2,-.241805
2011m3,.4430434
2011m4,.6519485
2011m5,.4424554
2011m6,-.0104521
2011m7,-.5065591
2011m8,-.7634866
2011m9,-.3094765
2011m10,.3704216
2011m11,.8939236
2011m12,.6596307
2012m1,.1738232
2012m2,.1525764
2012m3,.4021821
2012m4,.7311071
2012m5,.8384944
2012m6,.5683887
2012m7,.2070741
2012m8,-.1855579
2012m9,.0541123
2012m10,.49222
2012m11,.6658627
2012m12,.5192868
2013m1,.1370956
2013m2,.2168154
2013m3,.3239101
2013m4,.3384355
2013m5,.2730997
2013m6,.3040554
2013m7,.055633
2013m8,-.3978944
2013m9,-.1267395
2013m10,.3825986
2013m11,.6745355
2013m12,.3307845
2014m1,-.2414989
2014m2,-.0993926
2014m3,.26384
2014m4,.7213538
2014m5,.8194989
2014m6,.5773687
2014m7,.1427732
2014m8,-.4756728
2014m9,-.256626
2014m10,.2919903
2014m11,.496049
2014m12,.3626473
2015m1,.0672093
2015m2,.4811959
2015m3,.9531408
2015m4,1.127754
2015m5,.8750374
2015m6,.6659436
2015m7,.1722258
2015m8,-.3581411
2015m9,-.061133
2015m10,.6340778
2015m11,1.188601
2015m12,.9200852
2016m1,.4464032
2016m2,.7270495
2016m3,1.207289
2016m4,1.605468
