date,swb_job_satisfaction
2011m1,.4164842
2011m2,-.4003471
2011m3,-.9265156
2011m4,-.8906488
2011m5,-.9809076
2011m6,-.9376021
2011m7,-.7377689
2011m8,-.6517884
2011m9,-.4655198
2011m10,-.1893434
2011m11,-.0730818
2011m12,-.189621
2012m1,-.5978943
2012m2,-1.21973
2012m3,-1.7561
2012m4,-1.767881
2012m5,-1.448037
2012m6,-.9771077
2012m7,-.6316849
2012m8,-.4243338
2012m9,-.1110805
2012m10,.1252251
2012m11,-.0458625
2012m12,-.6662238
2013m1,-.6952966
2013m2,-.7001033
2013m3,-.8082314
2013m4,-1.100344
2013m5,-1.153765
2013m6,-1.005193
2013m7,-1.051851
2013m8,-1.198286
2013m9,-1.219365
2013m10,-1.120632
2013m11,-.9301581
2013m12,-.3878086
2014m1,.3204055
2014m2,.2837224
2014m3,-.2715538
2014m4,-1.0293
2014m5,-1.499433
2014m6,-1.515654
2014m7,-1.624474
2014m8,-1.799956
2014m9,-1.729637
2014m10,-1.623909
2014m11,-1.640637
2014m12,-1.543304
2015m1,-1.385975
2015m2,-1.762804
2015m3,-2.273702
2015m4,-2.64026
2015m5,-2.708429
2015m6,-2.596881
2015m7,-2.394432
2015m8,-2.306301
2015m9,-2.069526
2015m10,-2.130888
2015m11,-2.369195
2015m12,-2.311214
2016m1,-2.071012
2016m2,-1.935086
2016m3,-1.808617
2016m4,-1.498434
