date,swb_job_satisfaction
2008m1,-.6240425
2008m2,-.3854206
2008m3,-.3360506
2008m4,-.3147692
2008m5,-.3334451
2008m6,-.2112388
2008m7,-.0787176
2008m8,.0043177
2008m9,.0979499
2008m10,.350076
2008m11,.7262424
2008m12,.8676284
2009m1,1.078381
2009m2,1.16835
2009m3,1.047626
2009m4,.9001693
2009m5,.9343075
2009m6,1.12204
2009m7,1.565355
2009m8,1.700213
2009m9,1.682146
2009m10,1.634414
2009m11,1.640102
2009m12,1.616158
2010m1,1.63431
2010m2,1.662433
2010m3,1.81157
2010m4,1.574411
2010m5,1.220562
2010m6,1.103774
2010m7,.9797157
2010m8,.7222054
2010m9,.4905896
2010m10,.6225549
2010m11,.8973421
2010m12,.7560149
2011m1,.3780355
2011m2,.155331
2011m3,-.0251676
2011m4,-.1028778
2011m5,-.1500438
2011m6,-.1729432
2011m7,-.2637931
2011m8,-.2778849
2011m9,-.2165554
2011m10,.0088422
2011m11,-.0370798
2011m12,-.1396174
2012m1,-.1683863
2012m2,-.187812
2012m3,-.3222618
2012m4,-.4808539
2012m5,-.5398031
2012m6,-.5561526
2012m7,-.5347422
2012m8,-.5019078
2012m9,-.2996508
2012m10,-.0284089
2012m11,.1493632
2012m12,.0842699
2013m1,-.0880485
2013m2,-.3446681
2013m3,-.4896461
2013m4,-.5684946
2013m5,-.6144864
2013m6,-.7096156
2013m7,-.8063327
2013m8,-.8202666
2013m9,-.8103698
2013m10,-.8111403
2013m11,-.8685343
2013m12,-.9017079
2014m1,-.86753
2014m2,-.8397789
2014m3,-.7946968
2014m4,-.8345028
2014m5,-.8439134
2014m6,-.9396438
2014m7,-1.029125
2014m8,-1.170982
2014m9,-1.264438
2014m10,-1.317252
2014m11,-1.3565
2014m12,-1.369365
2015m1,-1.3476
2015m2,-1.390733
2015m3,-1.354235
2015m4,-1.330575
2015m5,-1.35146
2015m6,-1.302599
2015m7,-1.236641
2015m8,-1.285275
2015m9,-1.330087
2015m10,-1.347869
2015m11,-1.354439
2015m12,-1.412019
2016m1,-1.444991
2016m2,-1.381196
2016m3,-1.105863
2016m4,-.6056649
