date,cat_job_growth
2008m1,1.693565
2008m2,2.243668
2008m3,2.378617
2008m4,1.999943
2008m5,1.070607
2008m6,.2795233
2008m7,-.1770762
2008m8,-.1333675
2008m9,.3297445
2008m10,.6104237
2008m11,.2850778
2008m12,.192275
2009m1,.3607389
2009m2,.6942095
2009m3,.701042
2009m4,.6109871
2009m5,.6039404
2009m6,.4330786
2009m7,.0143676
2009m8,.1718674
2009m9,.673247
2009m10,.9338479
2009m11,1.151787
2009m12,1.405
2010m1,1.662457
2010m2,1.75648
2010m3,1.613582
2010m4,1.214012
2010m5,.8091942
2010m6,.4091688
2010m7,.1902799
2010m8,.3219995
2010m9,.8076873
2010m10,1.069303
2010m11,1.211462
2010m12,.8904973
2011m1,.2275874
2011m2,-.2439072
2011m3,-.5988955
2011m4,-.8143247
2011m5,-1.166542
2011m6,-1.277607
2011m7,-1.045211
2011m8,-.7759017
2011m9,-.5749022
2011m10,-.6165618
2011m11,-.7258044
2011m12,-.8361728
2012m1,-.8575902
2012m2,-.6040279
2012m3,-.3323358
2012m4,-.3458799
2012m5,-.745752
2012m6,-1.014756
2012m7,-.952156
2012m8,-.6391116
2012m9,-.2645595
2012m10,-.1902107
2012m11,-.3937962
2012m12,-.6497606
2013m1,-.6641409
2013m2,-.4552176
2013m3,-.3148958
2013m4,-.2597332
2013m5,-.5466226
2013m6,-1.045732
2013m7,-1.335116
2013m8,-1.235686
2013m9,-.7603893
2013m10,-.5446277
2013m11,-.599805
2013m12,-.820023
2014m1,-.9162714
2014m2,-.8962386
2014m3,-.7298051
2014m4,-.4148761
2014m5,-.4033394
2014m6,-.7464305
2014m7,-.9668869
2014m8,-.9202921
2014m9,-.4345427
2014m10,-.1187468
2014m11,-.1453216
2014m12,-.1414644
2015m1,-.0708866
2015m2,.0417862
2015m3,.0980097
2015m4,.0602059
2015m5,-.3536459
2015m6,-.7527329
2015m7,-.8516296
2015m8,-.5361453
2015m9,-.0394794
2015m10,.2052042
2015m11,.2302071
2015m12,.3162072
2016m1,.2672276
2016m2,.3158958
2016m3,.5089958
2016m4,.9319287
