date,cat_health_worries
2008m1,-.0479689
2008m2,-.6448697
2008m3,-.9972825
2008m4,-1.140821
2008m5,-1.026907
2008m6,-.7297909
2008m7,-.6871123
2008m8,-.7109735
2008m9,-.7094525
2008m10,-.5857581
2008m11,-.1703474
2008m12,.3150182
2009m1,.5042381
2009m2,.1290597
2009m3,-.2381412
2009m4,-.3266922
2009m5,-.103393
2009m6,.4356847
2009m7,.9850671
2009m8,1.370962
2009m9,1.491822
2009m10,1.425876
2009m11,1.306091
2009m12,1.183218
2010m1,1.231481
2010m2,1.358008
2010m3,1.489149
2010m4,1.992278
2010m5,2.377094
2010m6,2.666298
2010m7,2.277758
2010m8,1.658385
2010m9,1.283518
2010m10,1.042279
2010m11,.9757311
2010m12,1.099404
2011m1,1.093381
2011m2,.6985172
2011m3,.3661713
2011m4,.1193131
2011m5,.1628088
2011m6,.3372278
2011m7,.5081813
2011m8,.7258189
2011m9,.8793594
2011m10,.7096467
2011m11,.329288
2011m12,.122007
2012m1,.1161015
2012m2,.1994209
2012m3,.3249777
2012m4,.2643429
2012m5,.1551924
2012m6,-.0585583
2012m7,-.124659
2012m8,.0823207
2012m9,.2629688
2012m10,.3645932
2012m11,.2067592
2012m12,-.1053397
2013m1,-.1757456
2013m2,-.1103457
2013m3,-.1350864
2013m4,-.1992794
2013m5,-.1693121
2013m6,-.1494253
2013m7,-.2236868
2013m8,-.3689632
2013m9,-.4432212
2013m10,-.5077983
2013m11,-.4946653
2013m12,-.4395042
2014m1,-.5476036
2014m2,-.5813711
2014m3,-.5925729
2014m4,-.5362056
2014m5,-.4963507
2014m6,-.4863038
2014m7,-.6097651
2014m8,-.628391
2014m9,-.6015717
2014m10,-.6473898
2014m11,-.8349531
2014m12,-.8820611
2015m1,-.7418108
2015m2,-.612019
2015m3,-.6357753
2015m4,-.7076728
2015m5,-.8920124
2015m6,-.9957275
2015m7,-.9800463
2015m8,-1.04724
2015m9,-1.243759
2015m10,-1.392627
2015m11,-1.461167
2015m12,-1.354745
2016m1,-1.152611
2016m2,-1.082634
2016m3,-1.331599
2016m4,-1.725731
