date,swb_stress
2011m1,.6718516
2011m2,.254644
2011m3,-.1426129
2011m4,-.4329082
2011m5,-.5307602
2011m6,-.073522
2011m7,.3818902
2011m8,.5613782
2011m9,.44739
2011m10,.4234138
2011m11,.3111768
2011m12,.0377685
2012m1,.084827
2012m2,.2415724
2012m3,-.0816809
2012m4,-.3251466
2012m5,-.3177564
2012m6,-.312359
2012m7,-.3091197
2012m8,-.1629481
2012m9,.2900595
2012m10,.7583632
2012m11,.4745716
2012m12,-.2882075
2013m1,-.8539683
2013m2,-.7871739
2013m3,-.5675713
2013m4,-.5659354
2013m5,-.6895247
2013m6,-.7913005
2013m7,-.9169599
2013m8,-.873506
2013m9,-1.126397
2013m10,-1.422255
2013m11,-1.774691
2013m12,-1.98689
2014m1,-1.959458
2014m2,-1.812841
2014m3,-1.826053
2014m4,-1.721367
2014m5,-1.656131
2014m6,-1.645715
2014m7,-1.445912
2014m8,-.9184656
2014m9,-.4176903
2014m10,-.3737905
2014m11,-.5884853
2014m12,-1.007436
2015m1,-1.41605
2015m2,-1.466081
2015m3,-1.585194
2015m4,-1.815455
2015m5,-1.844114
2015m6,-1.698084
2015m7,-1.569129
2015m8,-.9474989
2015m9,-.5326436
2015m10,-.8998076
2015m11,-1.516227
2015m12,-1.795432
2016m1,-1.676356
2016m2,-1.283286
2016m3,-.6463737
2016m4,-.0329186
