date,cat_family_stress
2011m1,.5335869
2011m2,-.0397659
2011m3,-.1269654
2011m4,.0551065
2011m5,.429189
2011m6,.7883458
2011m7,.9491479
2011m8,.6496821
2011m9,.1675866
2011m10,-.2420456
2011m11,-.519358
2011m12,-.7244726
2012m1,-.3946829
2012m2,-.380504
2012m3,-.5246568
2012m4,-.4170664
2012m5,-.0510107
2012m6,.3240068
2012m7,.5798947
2012m8,.5433351
2012m9,.0321201
2012m10,-.6661657
2012m11,-1.299449
2012m12,-1.480926
2013m1,-.9388214
2013m2,-.6172327
2013m3,-.3824478
2013m4,-.0876198
2013m5,-.1010105
2013m6,.0878433
2013m7,.2272604
2013m8,.1293838
2013m9,-.2921663
2013m10,-.9207543
2013m11,-1.542804
2013m12,-1.561523
2014m1,-.7713298
2014m2,-.2897418
2014m3,.0456018
2014m4,.3166108
2014m5,.4330863
2014m6,.8784189
2014m7,1.352869
2014m8,1.356635
2014m9,1.037392
2014m10,.5737163
2014m11,-.1645802
2014m12,-.4811336
2015m1,-.1830119
2015m2,.0473842
2015m3,.503592
2015m4,.8751174
2015m5,1.062831
2015m6,1.222456
2015m7,1.239926
2015m8,1.059897
2015m9,.4662693
2015m10,-.2210083
2015m11,-.7080451
2015m12,-.6798694
2016m1,-.1879799
2016m2,-.0679049
2016m3,-.2737206
2016m4,-.6285184
