date,swb_enjoyment
2011m1,-1.41325
2011m2,-.7267539
2011m3,-.0072362
2011m4,.6993634
2011m5,1.004697
2011m6,.6490332
2011m7,-.0864341
2011m8,-.8132325
2011m9,-.9211812
2011m10,-.4699612
2011m11,.0317459
2011m12,.1651778
2012m1,-.0882627
2012m2,-.129287
2012m3,.3541081
2012m4,.8198358
2012m5,1.014315
2012m6,.8536442
2012m7,.2340523
2012m8,-.524502
2012m9,-1.111978
2012m10,-1.311914
2012m11,-.7283914
2012m12,.2174321
2013m1,.8691817
2013m2,1.203854
2013m3,1.470996
2013m4,1.386826
2013m5,1.036199
2013m6,.6399742
2013m7,.1778629
2013m8,-.161858
2013m9,-.3166445
2013m10,-.0019552
2013m11,.3344133
2013m12,.0903579
2014m1,-.6751735
2014m2,-.6303484
2014m3,.0460996
2014m4,.5508117
2014m5,.7677262
2014m6,.7089469
2014m7,.5740644
2014m8,.3758668
2014m9,.3374344
2014m10,.4645736
2014m11,.7606097
2014m12,.8813832
2015m1,.7411982
2015m2,.8320361
2015m3,1.074103
2015m4,1.369275
2015m5,1.389927
2015m6,1.108471
2015m7,.4770266
2015m8,-.2804836
2015m9,-.6112034
2015m10,-.1863777
2015m11,.5053898
2015m12,.7283333
2016m1,.2935247
2016m2,.2139009
2016m3,.1156958
2016m4,-.2306961
