date,swb_security
2011m1,-.8974534
2011m2,-.4787833
2011m3,-.2521576
2011m4,-.3006199
2011m5,.0410298
2011m6,.4459497
2011m7,.3311055
2011m8,.1430595
2011m9,.0356325
2011m10,-.0162466
2011m11,.3843097
2011m12,.6557212
2012m1,1.036152
2012m2,1.434057
2012m3,1.470107
2012m4,1.362661
2012m5,1.339561
2012m6,1.394919
2012m7,1.097973
2012m8,.7221829
2012m9,.6091144
2012m10,.3552899
2012m11,.2639544
2012m12,.4270394
2013m1,.7348096
2013m2,1.113715
2013m3,1.409924
2013m4,1.593815
2013m5,1.776946
2013m6,1.797395
2013m7,1.858652
2013m8,1.795064
2013m9,1.561226
2013m10,1.357325
2013m11,1.335149
2013m12,1.450009
2014m1,1.870822
2014m2,2.2005
2014m3,2.41129
2014m4,2.540286
2014m5,2.59785
2014m6,2.361875
2014m7,1.966036
2014m8,1.739391
2014m9,1.700855
2014m10,1.901651
2014m11,1.982037
2014m12,1.537366
2015m1,1.43543
2015m2,1.77248
2015m3,2.133374
2015m4,2.201474
2015m5,2.202916
2015m6,2.07968
2015m7,1.76321
2015m8,1.492005
2015m9,1.262588
2015m10,1.555791
2015m11,2.042648
2015m12,2.305127
2016m1,2.346276
2016m2,2.297171
2016m3,2.212075
2016m4,2.11745
