date,swb_enjoyment
2008m1,-.7480317
2008m2,-.1630246
2008m3,.3889812
2008m4,.6596364
2008m5,.7760592
2008m6,.6826699
2008m7,.3578836
2008m8,-.0043516
2008m9,-.3958688
2008m10,-.5134218
2008m11,-.8110639
2008m12,-1.32321
2009m1,-1.870282
2009m2,-1.997903
2009m3,-1.738099
2009m4,-1.111473
2009m5,-.7234385
2009m6,-.6793243
2009m7,-.7985219
2009m8,-.8436247
2009m9,-.446774
2009m10,-.1404772
2009m11,-.3410469
2009m12,-.5662763
2010m1,-1.062543
2010m2,-1.19644
2010m3,-.9054965
2010m4,-.4115736
2010m5,-.3294324
2010m6,-.7455161
2010m7,-1.254248
2010m8,-1.57365
2010m9,-1.368873
2010m10,-.8795895
2010m11,-.5819666
2010m12,-.5479349
2011m1,-.5520971
2011m2,-.250732
2011m3,.1169988
2011m4,.3595138
2011m5,.3028884
2011m6,-.0655841
2011m7,-.5366084
2011m8,-.6939167
2011m9,-.3736163
2011m10,.0327542
2011m11,.4762622
2011m12,.7054658
2012m1,.5819875
2012m2,.4987973
2012m3,.5779424
2012m4,.652894
2012m5,.5201309
2012m6,.1864014
2012m7,-.0036332
2012m8,-.1167658
2012m9,.0020355
2012m10,.2250864
2012m11,.3746862
2012m12,.3128842
2013m1,.1374695
2013m2,.3014774
2013m3,.4824333
2013m4,.5909388
2013m5,.653915
2013m6,.7238497
2013m7,.6996018
2013m8,.5812042
2013m9,.6301837
2013m10,.6760141
2013m11,.6840877
2013m12,.6427647
2014m1,.5635182
2014m2,.8341133
2014m3,1.198261
2014m4,1.483704
2014m5,1.352623
2014m6,.9274115
2014m7,.6160134
2014m8,.629401
2014m9,.905489
2014m10,1.146649
2014m11,1.264091
2014m12,1.19381
2015m1,1.131101
2015m2,1.338859
2015m3,1.557242
2015m4,1.540831
2015m5,1.364728
2015m6,1.170678
2015m7,1.004841
2015m8,.9163086
2015m9,1.044602
2015m10,1.141375
2015m11,1.24024
2015m12,1.247379
2016m1,1.203346
2016m2,1.456894
2016m3,1.572397
2016m4,1.48096
