region,date,protectionnisme
Languedoc-Roussillon,2013m1,1.6632388
Languedoc-Roussillon,2013m2,.4645479
Languedoc-Roussillon,2013m3,-.17150044
Languedoc-Roussillon,2013m4,-.12047046
Languedoc-Roussillon,2013m5,.067920052
Languedoc-Roussillon,2013m6,-.052105755
Languedoc-Roussillon,2013m7,-1.1948668
Languedoc-Roussillon,2013m8,-1.0838152
Languedoc-Roussillon,2013m9,.11307716
Languedoc-Roussillon,2013m10,1.4117162
Languedoc-Roussillon,2013m11,1.0521438
Languedoc-Roussillon,2013m12,.13396035
Languedoc-Roussillon,2014m1,-.044474199
Languedoc-Roussillon,2014m2,-.30783442
Languedoc-Roussillon,2014m3,-.13794801
Languedoc-Roussillon,2014m4,-.1999207
Languedoc-Roussillon,2014m5,-.73617184
Languedoc-Roussillon,2014m6,-.45438278
Languedoc-Roussillon,2014m7,-1.377224
Languedoc-Roussillon,2014m8,-1.0758767
Languedoc-Roussillon,2014m9,-.062479183
Languedoc-Roussillon,2014m10,.40190536
Languedoc-Roussillon,2014m11,.24348742
Languedoc-Roussillon,2014m12,.19676451
Languedoc-Roussillon,2015m1,.68897629
Languedoc-Roussillon,2015m2,-.13587297
Languedoc-Roussillon,2015m3,.4810597
Languedoc-Roussillon,2015m4,-.13570119
Languedoc-Roussillon,2015m5,-.12205312
Languedoc-Roussillon,2015m6,-.034976177
Languedoc-Roussillon,2015m7,-1.4164964
Languedoc-Roussillon,2015m8,-1.13886
Languedoc-Roussillon,2015m9,-.41178036
Languedoc-Roussillon,2015m10,.81264961
Languedoc-Roussillon,2015m11,.68888462
Languedoc-Roussillon,2015m12,.1610028
Languedoc-Roussillon,2016m1,.31506723
Languedoc-Roussillon,2016m2,.47894454
Languedoc-Roussillon,2016m3,.87007874
Languedoc-Roussillon,2016m4,.3013868
Languedoc-Roussillon,2016m5,.8725335
Languedoc-Roussillon,2016m6,.29381004
Languedoc-Roussillon,2016m7,-1.2810005
Languedoc-Roussillon,2016m8,-1.2849143
Languedoc-Roussillon,2016m9,-.157959
Languedoc-Roussillon,2016m10,.4140217
Languedoc-Roussillon,2016m11,.78464556
Languedoc-Roussillon,2016m12,.18255781
Languedoc-Roussillon,2017m1,.33147708
Languedoc-Roussillon,2017m2,.19364364
Languedoc-Roussillon,2017m3,.29006487
