region,date,christianisme
Lorraine,2013m1,-1.0186889
Lorraine,2013m2,-.62737978
Lorraine,2013m3,.77460992
Lorraine,2013m4,-.56840652
Lorraine,2013m5,-.88632154
Lorraine,2013m6,-1.5797342
Lorraine,2013m7,-1.5343981
Lorraine,2013m8,-1.340596
Lorraine,2013m9,-1.4650005
Lorraine,2013m10,-1.3721169
Lorraine,2013m11,-.85529566
Lorraine,2013m12,.8257944
Lorraine,2014m1,-.18169554
Lorraine,2014m2,-.42162436
Lorraine,2014m3,-1.0037225
Lorraine,2014m4,1.1993493
Lorraine,2014m5,-.80579364
Lorraine,2014m6,-1.0941495
Lorraine,2014m7,-.31060329
Lorraine,2014m8,-.52181816
Lorraine,2014m9,-.28900009
Lorraine,2014m10,-.031264633
Lorraine,2014m11,-.59542531
Lorraine,2014m12,1.192147
Lorraine,2015m1,1.436631
Lorraine,2015m2,.65127647
Lorraine,2015m3,.42955527
Lorraine,2015m4,.7465803
Lorraine,2015m5,.73733824
Lorraine,2015m6,-.49385718
Lorraine,2015m7,-.75276029
Lorraine,2015m8,.13110715
Lorraine,2015m9,-.51516169
Lorraine,2015m10,-.044280484
Lorraine,2015m11,.7277953
Lorraine,2015m12,2.5112827
Lorraine,2016m1,.14315923
Lorraine,2016m2,.40300208
Lorraine,2016m3,1.1960535
Lorraine,2016m4,.57292879
Lorraine,2016m5,.42399275
Lorraine,2016m6,-.94249809
Lorraine,2016m7,.18287574
Lorraine,2016m8,.64679819
Lorraine,2016m9,.13734747
Lorraine,2016m10,.17679673
Lorraine,2016m11,.31694144
Lorraine,2016m12,2.0074646
Lorraine,2017m1,.50438237
Lorraine,2017m2,.65198725
Lorraine,2017m3,1.1406684
