region,date,travail
Lorraine,2013m1,.55908352
Lorraine,2013m2,.29182056
Lorraine,2013m3,.17906415
Lorraine,2013m4,-.16936952
Lorraine,2013m5,-.35154951
Lorraine,2013m6,-.578942
Lorraine,2013m7,-1.0270917
Lorraine,2013m8,-1.1223757
Lorraine,2013m9,.84683853
Lorraine,2013m10,-.19995682
Lorraine,2013m11,-.0034529336
Lorraine,2013m12,-.71800959
Lorraine,2014m1,.47923693
Lorraine,2014m2,.38480425
Lorraine,2014m3,-.014873885
Lorraine,2014m4,-.12850772
Lorraine,2014m5,.14096177
Lorraine,2014m6,.016676044
Lorraine,2014m7,-.36566135
Lorraine,2014m8,-.72990036
Lorraine,2014m9,1.1094462
Lorraine,2014m10,.23618963
Lorraine,2014m11,.094428524
Lorraine,2014m12,-.77365804
Lorraine,2015m1,.67514354
Lorraine,2015m2,.78363824
Lorraine,2015m3,.81232405
Lorraine,2015m4,-.035645939
Lorraine,2015m5,.30317277
Lorraine,2015m6,-.098154992
Lorraine,2015m7,-.62053734
Lorraine,2015m8,-.5228045
Lorraine,2015m9,.60469687
Lorraine,2015m10,.27577573
Lorraine,2015m11,.016379785
Lorraine,2015m12,-.92714119
Lorraine,2016m1,.58096033
Lorraine,2016m2,.56174266
Lorraine,2016m3,.085134231
Lorraine,2016m4,-.071079127
Lorraine,2016m5,.12068146
Lorraine,2016m6,-.30241188
Lorraine,2016m7,-.9631303
Lorraine,2016m8,-.56810248
Lorraine,2016m9,.55031472
Lorraine,2016m10,.10799995
Lorraine,2016m11,.086369067
Lorraine,2016m12,-.66097742
Lorraine,2017m1,.56535673
Lorraine,2017m2,.48674625
Lorraine,2017m3,.21812691
