date,cat_layoffs
2008m1,-1.324691
2008m2,-1.200503
2008m3,-1.089023
2008m4,-.9988649
2008m5,-1.088984
2008m6,-1.142791
2008m7,-1.194515
2008m8,-1.089702
2008m9,-.492164
2008m10,.3284559
2008m11,1.253801
2008m12,1.967987
2009m1,2.56729
2009m2,2.731674
2009m3,2.611545
2009m4,1.958773
2009m5,1.245739
2009m6,1.0598
2009m7,1.066335
2009m8,1.087643
2009m9,1.416868
2009m10,1.601585
2009m11,1.518346
2009m12,1.187273
2010m1,1.212231
2010m2,1.384197
2010m3,1.602454
2010m4,1.414811
2010m5,1.069749
2010m6,1.009612
2010m7,1.017844
2010m8,.7189406
2010m9,.367545
2010m10,.1623705
2010m11,.157639
2010m12,.315053
2011m1,.1452958
2011m2,-.0314
2011m3,-.1424299
2011m4,-.1655508
2011m5,-.2100686
2011m6,-.2518817
2011m7,-.3261041
2011m8,-.2634186
2011m9,-.1161572
2011m10,.0498069
2011m11,.0549124
2011m12,.0548125
2012m1,.0484659
2012m2,-.0539049
2012m3,-.1412289
2012m4,-.1410917
2012m5,-.1113137
2012m6,-.1561765
2012m7,-.1947526
2012m8,-.1046576
2012m9,.1404022
2012m10,.3035982
2012m11,.1190106
2012m12,-.1473149
2013m1,-.2891288
2013m2,-.4141332
2013m3,-.5598963
2013m4,-.6691048
2013m5,-.785116
2013m6,-.7756838
2013m7,-.6777676
2013m8,-.4727839
2013m9,-.3132258
2013m10,-.1445841
2013m11,-.2316699
2013m12,-.2753042
2014m1,-.1143717
2014m2,-.0850091
2014m3,-.1436644
2014m4,-.1591195
2014m5,-.2684645
2014m6,-.4117749
2014m7,-.4595213
2014m8,-.4368458
2014m9,-.3773629
2014m10,-.4172532
2014m11,-.4980094
2014m12,-.6023263
2015m1,-.6588507
2015m2,-.6530111
2015m3,-.7808909
2015m4,-.9667239
2015m5,-1.119652
2015m6,-1.11576
2015m7,-1.026224
2015m8,-1.036262
2015m9,-.9298107
2015m10,-.8322263
2015m11,-.8442946
2015m12,-.9224703
2016m1,-.8278042
2016m2,-.6406596
2016m3,-.4670381
2016m4,-.3693762
