date,cat_housing
2008m1,1.756019
2008m2,1.355848
2008m3,.8043125
2008m4,.1101918
2008m5,-.3292498
2008m6,-.34955
2008m7,-.3414418
2008m8,-.4486143
2008m9,-.5581155
2008m10,-.516068
2008m11,.0873313
2008m12,1.312981
2009m1,2.041513
2009m2,2.239125
2009m3,2.285009
2009m4,1.746865
2009m5,1.140712
2009m6,.8083388
2009m7,.4905475
2009m8,.1853689
2009m9,-.0307197
2009m10,-.0711573
2009m11,-.1018271
2009m12,-.0374275
2010m1,.3191443
2010m2,.6766782
2010m3,.9088083
2010m4,1.038254
2010m5,1.181054
2010m6,1.491732
2010m7,1.965573
2010m8,2.293374
2010m9,1.903851
2010m10,1.369719
2010m11,.8020833
2010m12,.2632004
2011m1,-.1031941
2011m2,-.3471986
2011m3,-.4586941
2011m4,-.5582471
2011m5,-.5706057
2011m6,-.3560168
2011m7,.1046131
2011m8,.5870973
2011m9,.62596
2011m10,.3509898
2011m11,-.0356166
2011m12,-.3052498
2012m1,-.2334562
2012m2,.00137
2012m3,.2134113
2012m4,.3100947
2012m5,.2785734
2012m6,.2707305
2012m7,.2940888
2012m8,.2233187
2012m9,.001897
2012m10,-.3802467
2012m11,-.6168119
2012m12,-.617908
2013m1,-.3835755
2013m2,-.1380807
2013m3,.1689592
2013m4,.3532351
2013m5,.3252736
2013m6,.2679359
2013m7,.0482632
2013m8,-.3462811
2013m9,-.8368497
2013m10,-1.181315
2013m11,-1.404115
2013m12,-1.404056
2014m1,-1.181238
2014m2,-.9601099
2014m3,-.8551444
2014m4,-.8358742
2014m5,-.8228616
2014m6,-.7911561
2014m7,-.7528955
2014m8,-.8369662
2014m9,-1.039059
2014m10,-1.249706
2014m11,-1.385181
2014m12,-1.230235
2015m1,-.8588843
2015m2,-.5515215
2015m3,-.3187367
2015m4,-.2750579
2015m5,-.383081
2015m6,-.384975
2015m7,-.4281586
2015m8,-.5564591
2015m9,-.7682697
2015m10,-.998498
2015m11,-1.190758
2015m12,-1.24107
2016m1,-1.003414
2016m2,-.7052863
2016m3,-.3730032
2016m4,.0358447
