date,swb_anger
2011m1,-1.542324
2011m2,-1.071537
2011m3,-.6337099
2011m4,-.3300631
2011m5,-.6719069
2011m6,-1.214468
2011m7,-1.080332
2011m8,-.1852254
2011m9,.3344602
2011m10,.242538
2011m11,-.059308
2011m12,-.2006365
2012m1,-.6377142
2012m2,-1.194283
2012m3,-1.355571
2012m4,-1.609666
2012m5,-1.690482
2012m6,-1.369379
2012m7,-.7530577
2012m8,-.0489671
2012m9,.301805
2012m10,-.1255508
2012m11,-.4655772
2012m12,-.6591499
2013m1,-.6477405
2013m2,-.6106585
2013m3,-.6070954
2013m4,-.3298315
2013m5,-.2612852
2013m6,-.2214696
2013m7,-.0402219
2013m8,.2270715
2013m9,.3002847
2013m10,.041051
2013m11,-.143729
2013m12,-.2215136
2014m1,-.4605622
2014m2,-.8198002
2014m3,-1.000014
2014m4,-.9701431
2014m5,-.8665043
2014m6,-.7204571
2014m7,-.6523474
2014m8,.0020534
2014m9,.7749014
2014m10,.6918867
2014m11,.1538761
2014m12,-.2329924
2015m1,-.8326693
2015m2,-1.368469
2015m3,-1.3933
2015m4,-1.01135
2015m5,-.398123
2015m6,-.1104594
2015m7,.1679554
2015m8,.5667453
2015m9,.6021972
2015m10,-.0600424
2015m11,-.9779843
2015m12,-1.67528
2016m1,-2.039908
2016m2,-1.910951
2016m3,-1.432008
2016m4,-1.058049
