region,date,crime
Midi-Pyrenees,2013m1,.038325746
Midi-Pyrenees,2013m2,-.076730259
Midi-Pyrenees,2013m3,-.13969745
Midi-Pyrenees,2013m4,-.83549112
Midi-Pyrenees,2013m5,-.36679044
Midi-Pyrenees,2013m6,-.68496674
Midi-Pyrenees,2013m7,-1.1010144
Midi-Pyrenees,2013m8,-.65367579
Midi-Pyrenees,2013m9,-.38298595
Midi-Pyrenees,2013m10,-.49770626
Midi-Pyrenees,2013m11,-.034537438
Midi-Pyrenees,2013m12,-.54553825
Midi-Pyrenees,2014m1,.2847726
Midi-Pyrenees,2014m2,-.15389878
Midi-Pyrenees,2014m3,-.44023633
Midi-Pyrenees,2014m4,-.53849137
Midi-Pyrenees,2014m5,-.77242309
Midi-Pyrenees,2014m6,-.87834704
Midi-Pyrenees,2014m7,-1.2409482
Midi-Pyrenees,2014m8,-.59428495
Midi-Pyrenees,2014m9,.69062066
Midi-Pyrenees,2014m10,.3070676
Midi-Pyrenees,2014m11,.0062612849
Midi-Pyrenees,2014m12,-.45083782
Midi-Pyrenees,2015m1,.65832043
Midi-Pyrenees,2015m2,.56880361
Midi-Pyrenees,2015m3,.40976289
Midi-Pyrenees,2015m4,-.28847298
Midi-Pyrenees,2015m5,-.17661308
Midi-Pyrenees,2015m6,-.063347146
Midi-Pyrenees,2015m7,-.25232661
Midi-Pyrenees,2015m8,-.63023901
Midi-Pyrenees,2015m9,-.021455472
Midi-Pyrenees,2015m10,.50752801
Midi-Pyrenees,2015m11,1.5845807
Midi-Pyrenees,2015m12,-.18859982
Midi-Pyrenees,2016m1,.6617595
Midi-Pyrenees,2016m2,.26020223
Midi-Pyrenees,2016m3,.33068827
Midi-Pyrenees,2016m4,-.2000041
Midi-Pyrenees,2016m5,.46435618
Midi-Pyrenees,2016m6,.20347169
Midi-Pyrenees,2016m7,.014475798
Midi-Pyrenees,2016m8,-.1026878
Midi-Pyrenees,2016m9,.6865027
Midi-Pyrenees,2016m10,1.1798669
Midi-Pyrenees,2016m11,1.0642005
Midi-Pyrenees,2016m12,.39055833
Midi-Pyrenees,2017m1,.81750822
Midi-Pyrenees,2017m2,.91852462
Midi-Pyrenees,2017m3,.2147101
