region,date,recherche_emploi
Midi-Pyrenees,2013m1,1.662677
Midi-Pyrenees,2013m2,1.353714
Midi-Pyrenees,2013m3,1.896558
Midi-Pyrenees,2013m4,.6161561
Midi-Pyrenees,2013m5,.14147608
Midi-Pyrenees,2013m6,.49936628
Midi-Pyrenees,2013m7,-1.0219797
Midi-Pyrenees,2013m8,-1.4960113
Midi-Pyrenees,2013m9,.23070875
Midi-Pyrenees,2013m10,.92969817
Midi-Pyrenees,2013m11,.018665522
Midi-Pyrenees,2013m12,-.75534976
Midi-Pyrenees,2014m1,.33593756
Midi-Pyrenees,2014m2,.78910983
Midi-Pyrenees,2014m3,1.1806157
Midi-Pyrenees,2014m4,.30596653
Midi-Pyrenees,2014m5,.094375208
Midi-Pyrenees,2014m6,.33353347
Midi-Pyrenees,2014m7,-.85969067
Midi-Pyrenees,2014m8,-.89152271
Midi-Pyrenees,2014m9,.45645776
Midi-Pyrenees,2014m10,.16307063
Midi-Pyrenees,2014m11,.56475264
Midi-Pyrenees,2014m12,-.6064921
Midi-Pyrenees,2015m1,.8422879
Midi-Pyrenees,2015m2,1.0205704
Midi-Pyrenees,2015m3,2.2665327
Midi-Pyrenees,2015m4,.95160341
Midi-Pyrenees,2015m5,.68660247
Midi-Pyrenees,2015m6,.76297545
Midi-Pyrenees,2015m7,-.46106216
Midi-Pyrenees,2015m8,-1.0126432
Midi-Pyrenees,2015m9,.21251795
Midi-Pyrenees,2015m10,-.20999046
Midi-Pyrenees,2015m11,-.22650909
Midi-Pyrenees,2015m12,-1.4040614
Midi-Pyrenees,2016m1,-.072531529
Midi-Pyrenees,2016m2,-.52712202
Midi-Pyrenees,2016m3,.230762
Midi-Pyrenees,2016m4,-.7623601
Midi-Pyrenees,2016m5,-.55525029
Midi-Pyrenees,2016m6,-.86837614
Midi-Pyrenees,2016m7,-1.6580446
Midi-Pyrenees,2016m8,-1.7682071
Midi-Pyrenees,2016m9,-.36925787
Midi-Pyrenees,2016m10,-.81003344
Midi-Pyrenees,2016m11,-.87628829
Midi-Pyrenees,2016m12,-1.4072675
Midi-Pyrenees,2017m1,-.43979728
Midi-Pyrenees,2017m2,.37005064
Midi-Pyrenees,2017m3,.49905738
