date,swb_laugh
2011m1,-1.983894
2011m2,-1.265567
2011m3,-.6263999
2011m4,-.0689337
2011m5,.1004515
2011m6,-.2025445
2011m7,-.7269325
2011m8,-.8097051
2011m9,-.6437529
2011m10,-.1379463
2011m11,.500277
2011m12,.7113913
2012m1,.5512458
2012m2,.6936318
2012m3,.8888252
2012m4,.7540209
2012m5,.3437744
2012m6,.1997005
2012m7,-.3192631
2012m8,-.9805205
2012m9,-1.262422
2012m10,-1.209745
2012m11,-1.043138
2012m12,-.8891903
2013m1,-.6467677
2013m2,.0245755
2013m3,.4370708
2013m4,.2630612
2013m5,.2765579
2013m6,.4236474
2013m7,.3423068
2013m8,-.1987644
2013m9,-.6381385
2013m10,-.354169
2013m11,.0900528
2013m12,-.1396156
2014m1,-.8906983
2014m2,-.9241214
2014m3,-.3281393
2014m4,.0576391
2014m5,.0226937
2014m6,-.2507664
2014m7,-.5521695
2014m8,-.9669765
2014m9,-1.313467
2014m10,-.9965683
2014m11,-.4861924
2014m12,-.4305089
2015m1,-.6573416
2015m2,-.7113113
2015m3,-.7778574
2015m4,-.9156998
2015m5,-.8967084
2015m6,-.710499
2015m7,-.6521641
2015m8,-.8771518
2015m9,-1.254002
2015m10,-1.014279
2015m11,-.3596907
2015m12,-.0847439
2016m1,-.4341711
2016m2,-.5031815
2016m3,-.428131
2016m4,.0217163
