date,swb_enjoyment
2011m1,-.2712266
2011m2,-.124511
2011m3,.0406943
2011m4,.2562882
2011m5,.3348429
2011m6,.0317501
2011m7,-.4631492
2011m8,-1.09356
2011m9,-1.255266
2011m10,-.7408078
2011m11,-.0492486
2011m12,.3170484
2012m1,.1863611
2012m2,.2387511
2012m3,.6345642
2012m4,.9832304
2012m5,.9247715
2012m6,.5980366
2012m7,.1155799
2012m8,-.1204312
2012m9,-.5675521
2012m10,-1.0989
2012m11,-1.171821
2012m12,-.600989
2013m1,-.0050922
2013m2,.8516777
2013m3,1.431304
2013m4,1.344272
2013m5,.9090792
2013m6,.5792131
2013m7,.488296
2013m8,.2738499
2013m9,.0633874
2013m10,-.096439
2013m11,.4061775
2013m12,.5206921
2014m1,.1155176
2014m2,.2786213
2014m3,.7078325
2014m4,.7214748
2014m5,.2884891
2014m6,-.214516
2014m7,-.2878564
2014m8,-.1214644
2014m9,.0946511
2014m10,.2924391
2014m11,.7856119
2014m12,1.220808
2015m1,1.100487
2015m2,.9802592
2015m3,1.28797
2015m4,1.749639
2015m5,1.758372
2015m6,1.160599
2015m7,.7465002
2015m8,.4563897
2015m9,.289568
2015m10,.2475907
2015m11,.6005434
2015m12,.7589012
2016m1,.7473227
2016m2,.7994027
2016m3,.7254092
2016m4,.744274
