date,swb_laugh
2008m1,-1.129047
2008m2,-.5057924
2008m3,-.2361078
2008m4,-.0409638
2008m5,.2924745
2008m6,.3646935
2008m7,.4536043
2008m8,.4919409
2008m9,.474012
2008m10,.0012775
2008m11,-.5956264
2008m12,-1.053378
2009m1,-1.801737
2009m2,-2.049208
2009m3,-1.710446
2009m4,-.9912816
2009m5,-.3841856
2009m6,-.1146349
2009m7,-.2092322
2009m8,-.3719816
2009m9,-.3374915
2009m10,-.0163018
2009m11,.2314821
2009m12,.3092665
2010m1,.1348346
2010m2,.1937378
2010m3,.8778665
2010m4,1.420076
2010m5,1.507917
2010m6,1.356757
2010m7,1.105344
2010m8,.7522035
2010m9,.7716366
2010m10,1.035592
2010m11,1.273764
2010m12,1.229052
2011m1,.9996029
2011m2,1.166574
2011m3,1.449067
2011m4,1.629712
2011m5,1.675721
2011m6,1.512176
2011m7,1.240959
2011m8,.9032235
2011m9,.9836584
2011m10,1.333814
2011m11,1.690372
2011m12,1.819777
2012m1,1.561839
2012m2,1.480849
2012m3,1.66095
2012m4,1.845662
2012m5,1.994637
2012m6,1.82113
2012m7,1.429478
2012m8,1.342978
2012m9,1.319442
2012m10,1.148049
2012m11,.8800297
2012m12,.4992909
2013m1,.3252998
2013m2,.7344518
2013m3,1.101114
2013m4,1.291905
2013m5,1.493635
2013m6,1.636877
2013m7,1.622525
2013m8,1.554157
2013m9,1.436366
2013m10,1.257932
2013m11,1.268742
2013m12,1.152792
2014m1,.8838444
2014m2,.8679259
2014m3,.9506733
2014m4,.9283094
2014m5,.7784002
2014m6,.4266775
2014m7,-.0662053
2014m8,-.3648578
2014m9,-.326477
2014m10,-.0537021
2014m11,.2115433
2014m12,.2931276
2015m1,.1722584
2015m2,.1856727
2015m3,.2844494
2015m4,.4327817
2015m5,.4783856
2015m6,.1638596
2015m7,-.1064564
2015m8,-.257664
2015m9,-.0469013
2015m10,.1646646
2015m11,.2953291
2015m12,.2038997
2016m1,.0794428
2016m2,.2027477
2016m3,.4609104
2016m4,1.161451
