date,cat_healthy_habits
2011m1,1.759786
2011m2,1.490929
2011m3,.9651551
2011m4,.3047526
2011m5,.0783177
2011m6,-.1518685
2011m7,-.7298375
2011m8,-1.145655
2011m9,-1.094026
2011m10,-.7048622
2011m11,-.2316174
2011m12,.2595116
2012m1,.9067467
2012m2,.9121189
2012m3,.7483841
2012m4,.4618772
2012m5,.2531197
2012m6,.0593272
2012m7,-.2307604
2012m8,-.5753578
2012m9,-.6789116
2012m10,-.6902388
2012m11,-.6362824
2012m12,-.4138419
2013m1,.203675
2013m2,.4412871
2013m3,.3756032
2013m4,.4349943
2013m5,.3096678
2013m6,-.0026433
2013m7,-.4050173
2013m8,-.7678342
2013m9,-.8435773
2013m10,-.9315343
2013m11,-.7681403
2013m12,-.3128839
2014m1,.3761477
2014m2,.7344697
2014m3,.7129257
2014m4,.5218542
2014m5,.0591009
2014m6,-.3209192
2014m7,-.6086107
2014m8,-1.002852
2014m9,-.9092094
2014m10,-.5586702
2014m11,-.2833134
2014m12,.1738027
2015m1,.9805756
2015m2,1.048669
2015m3,.5611226
2015m4,-.0330047
2015m5,-.4679306
2015m6,-.4161732
2015m7,-.4714366
2015m8,-.6770671
2015m9,-.8068171
2015m10,-.8537621
2015m11,-.587511
2015m12,.1496633
2016m1,1.146241
2016m2,1.26425
2016m3,.9136366
2016m4,.7044546
