date,cat_social_progress
2008m1,-.8703195
2008m2,-.5904896
2008m3,-.4926738
2008m4,-.4411814
2008m5,-.7336541
2008m6,-1.100396
2008m7,-1.185757
2008m8,-.9011776
2008m9,-.5453316
2008m10,-.469208
2008m11,-.7050284
2008m12,-1.016433
2009m1,-.8755935
2009m2,-.4518311
2009m3,-.2064811
2009m4,-.2328164
2009m5,-.4277497
2009m6,-.9973969
2009m7,-1.174022
2009m8,-.6997371
2009m9,.3502034
2009m10,1.130531
2009m11,1.385022
2009m12,1.237675
2010m1,1.346859
2010m2,1.807051
2010m3,2.039501
2010m4,1.729206
2010m5,1.256583
2010m6,.4041153
2010m7,.1560741
2010m8,.3328178
2010m9,.6369922
2010m10,.7934873
2010m11,.8443666
2010m12,.2049024
2011m1,-.2960322
2011m2,-.4855081
2011m3,-.5385054
2011m4,-.5196881
2011m5,-.7130387
2011m6,-1.064874
2011m7,-1.28656
2011m8,-1.073771
2011m9,-.4874695
2011m10,-.1058159
2011m11,-.0250273
2011m12,.0441191
2012m1,.2884162
2012m2,.4101579
2012m3,.5046426
2012m4,.5227498
2012m5,.0039253
2012m6,-.7346175
2012m7,-1.129096
2012m8,-.9112506
2012m9,-.210727
2012m10,.3079306
2012m11,.4083922
2012m12,.0775969
2013m1,-.0581818
2013m2,-.1285072
2013m3,-.031325
2013m4,-.1322427
2013m5,-.5312238
2013m6,-1.002197
2013m7,-1.220126
2013m8,-1.018144
2013m9,-.4079205
2013m10,.0586495
2013m11,.1082241
2013m12,.0597466
2014m1,.2608175
2014m2,.4859606
2014m3,.6196503
2014m4,.5722857
2014m5,.0388075
2014m6,-.6262169
2014m7,-.8186373
2014m8,-.3513238
2014m9,.4242009
2014m10,.7316424
2014m11,.6677119
2014m12,.29289
2015m1,.3434678
2015m2,.4771271
2015m3,.5885487
2015m4,.4251796
2015m5,.1268577
2015m6,-.201191
2015m7,-.4174345
2015m8,-.1523932
2015m9,.4253319
2015m10,.6619907
2015m11,.6162431
2015m12,.6617014
2016m1,.9650925
2016m2,1.183239
2016m3,1.040322
2016m4,.7373204
