date,cat_education
2008m1,1.189071
2008m2,1.086646
2008m3,.9303101
2008m4,.7087411
2008m5,.2100806
2008m6,-.1855279
2008m7,-.1227688
2008m8,.4949682
2008m9,1.226347
2008m10,1.403913
2008m11,1.090953
2008m12,.7260702
2009m1,.8092287
2009m2,1.062969
2009m3,1.027259
2009m4,.7414054
2009m5,.1700192
2009m6,-.3097948
2009m7,-.2426097
2009m8,.5205176
2009m9,1.443875
2009m10,1.755489
2009m11,1.595998
2009m12,1.299035
2010m1,1.419433
2010m2,1.664069
2010m3,1.690135
2010m4,1.427756
2010m5,.884632
2010m6,.3039473
2010m7,.0674352
2010m8,.4853666
2010m9,1.03133
2010m10,1.10035
2010m11,.8029812
2010m12,.4340449
2011m1,.3780005
2011m2,.360986
2011m3,.1849261
2011m4,-.1219975
2011m5,-.5711016
2011m6,-.9222637
2011m7,-.9152635
2011m8,-.4171557
2011m9,.077545
2011m10,.0512139
2011m11,-.2354776
2011m12,-.5358398
2012m1,-.4285443
2012m2,-.320195
2012m3,-.416226
2012m4,-.6547856
2012m5,-.9926173
2012m6,-1.311152
2012m7,-1.260159
2012m8,-.7187651
2012m9,-.1925722
2012m10,-.0636012
2012m11,-.190555
2012m12,-.3572432
2013m1,-.2481745
2013m2,-.2046718
2013m3,-.4134519
2013m4,-.7147353
2013m5,-1.149426
2013m6,-1.523212
2013m7,-1.424149
2013m8,-.8291016
2013m9,-.2293879
2013m10,-.0712027
2013m11,-.2884047
2013m12,-.5571436
2014m1,-.538192
2014m2,-.4314246
2014m3,-.4055682
2014m4,-.5546466
2014m5,-.8993272
2014m6,-1.195007
2014m7,-1.110648
2014m8,-.5257593
2014m9,.1263838
2014m10,.2313743
2014m11,-.0363195
2014m12,-.2912273
2015m1,-.1351662
2015m2,.048958
2015m3,.0705016
2015m4,-.1731915
2015m5,-.7067068
2015m6,-1.332043
2015m7,-1.452548
2015m8,-.8999528
2015m9,-.2487921
2015m10,-.1142726
2015m11,-.3473678
2015m12,-.5859224
2016m1,-.4365618
2016m2,-.242916
2016m3,-.2615013
2016m4,-.2699248
