date,swb_security
2011m1,-.4600449
2011m2,-.1153378
2011m3,.6186872
2011m4,1.055954
2011m5,1.133808
2011m6,.6665539
2011m7,.0950489
2011m8,-.4903769
2011m9,-.7342171
2011m10,-.7578521
2011m11,-.6067605
2011m12,-.1747058
2012m1,.4497344
2012m2,1.035803
2012m3,1.49845
2012m4,1.64893
2012m5,1.612456
2012m6,1.479554
2012m7,1.084734
2012m8,.6303354
2012m9,.3689865
2012m10,.2571139
2012m11,.1554368
2012m12,.0495926
2013m1,.3825383
2013m2,1.048268
2013m3,1.640437
2013m4,2.026883
2013m5,1.89238
2013m6,1.502007
2013m7,1.060509
2013m8,.5965933
2013m9,.1919089
2013m10,.0686213
2013m11,.5000924
2013m12,1.005363
2014m1,1.60315
2014m2,2.152246
2014m3,2.708845
2014m4,2.912421
2014m5,2.741105
2014m6,2.224113
2014m7,1.608836
2014m8,1.198613
2014m9,1.313776
2014m10,1.668678
2014m11,1.939897
2014m12,1.806479
2015m1,1.611005
2015m2,1.602054
2015m3,1.861132
2015m4,1.957309
2015m5,1.962406
2015m6,1.894571
2015m7,1.697911
2015m8,1.508752
2015m9,1.160362
2015m10,.9644148
2015m11,.9991989
2015m12,1.194951
2016m1,1.553653
2016m2,1.854516
2016m3,2.025156
2016m4,1.927491
