date,cat_housing
2008m1,.8749167
2008m2,.4796752
2008m3,.1350494
2008m4,-.3815026
2008m5,-.8022987
2008m6,-.9985911
2008m7,-1.041704
2008m8,-.9129365
2008m9,-.711135
2008m10,-.4505097
2008m11,.2922424
2008m12,1.581182
2009m1,2.019704
2009m2,1.792496
2009m3,1.085552
2009m4,.6991717
2009m5,.630179
2009m6,.9578481
2009m7,.8928549
2009m8,.672953
2009m9,.351951
2009m10,-.0614854
2009m11,-.2669548
2009m12,-.1060692
2010m1,.3042906
2010m2,.7352516
2010m3,1.104797
2010m4,1.256331
2010m5,1.007299
2010m6,1.271704
2010m7,1.964755
2010m8,2.320036
2010m9,1.789614
2010m10,1.447699
2010m11,1.07431
2010m12,.4023499
2011m1,-.0159279
2011m2,-.2532063
2011m3,-.373845
2011m4,-.4201853
2011m5,-.3082189
2011m6,-.247233
2011m7,-.0602964
2011m8,.1740876
2011m9,.209959
2011m10,.0944845
2011m11,-.3118969
2011m12,-.53194
2012m1,-.3041941
2012m2,.0517398
2012m3,.2604227
2012m4,.3415752
2012m5,.3839649
2012m6,.4397288
2012m7,.498425
2012m8,.4014313
2012m9,.191771
2012m10,-.2248435
2012m11,-.6295174
2012m12,-.7679852
2013m1,-.5974193
2013m2,-.3841238
2013m3,-.0559582
2013m4,.3712054
2013m5,.6577492
2013m6,.7739278
2013m7,.5256547
2013m8,.1112075
2013m9,-.3245294
2013m10,-.6680996
2013m11,-.949755
2013m12,-1.139532
2014m1,-1.063422
2014m2,-.9062672
2014m3,-.7594993
2014m4,-.5889356
2014m5,-.4895082
2014m6,-.3934391
2014m7,-.4609159
2014m8,-.7559904
2014m9,-1.103346
2014m10,-1.315522
2014m11,-1.386775
2014m12,-1.132374
2015m1,-.6717322
2015m2,-.3948926
2015m3,-.3252189
2015m4,-.3530292
2015m5,-.3640594
2015m6,-.1820391
2015m7,-.0479857
2015m8,-.0937387
2015m9,-.4696338
2015m10,-.9133672
2015m11,-1.230391
2015m12,-1.247056
2016m1,-.9005652
2016m2,-.4943523
2016m3,-.2331296
2016m4,-.0524684
