date,swb_enjoyment
2011m1,-.5286056
2011m2,.6961308
2011m3,1.548837
2011m4,1.653393
2011m5,1.095455
2011m6,.4272871
2011m7,-.1246158
2011m8,-.1061184
2011m9,.3523847
2011m10,.7928413
2011m11,1.15303
2011m12,1.27156
2012m1,.9792232
2012m2,.811138
2012m3,1.100722
2012m4,1.376132
2012m5,1.145979
2012m6,.7940456
2012m7,.5590117
2012m8,.5864909
2012m9,.8057319
2012m10,1.019101
2012m11,.9247845
2012m12,1.24687
2013m1,1.567845
2013m2,1.836069
2013m3,1.948217
2013m4,1.836926
2013m5,1.55309
2013m6,1.626188
2013m7,1.704047
2013m8,1.559511
2013m9,1.744054
2013m10,2.073148
2013m11,2.186034
2013m12,1.663244
2014m1,1.043763
2014m2,1.176802
2014m3,1.382285
2014m4,1.588634
2014m5,1.533917
2014m6,1.009099
2014m7,.727678
2014m8,.816649
2014m9,1.054273
2014m10,1.136039
2014m11,.9833481
2014m12,.2238733
2015m1,-.5027515
2015m2,-.673989
2015m3,-.6538735
2015m4,.0209945
2015m5,.8363736
2015m6,.8483148
2015m7,.4911936
2015m8,.4934893
2015m9,.6605549
2015m10,.9067646
2015m11,1.230888
2015m12,1.347311
2016m1,1.110413
2016m2,.7781076
2016m3,.2338604
2016m4,-.1897951
