date,cat_family
2008m1,-2.008858
2008m2,-2.021407
2008m3,-2.001341
2008m4,-1.997387
2008m5,-2.12863
2008m6,-2.289922
2008m7,-2.238886
2008m8,-1.925977
2008m9,-1.53999
2008m10,-1.353157
2008m11,-1.226415
2008m12,-1.167338
2009m1,-1.195827
2009m2,-1.217774
2009m3,-1.298946
2009m4,-1.42744
2009m5,-1.414831
2009m6,-1.464455
2009m7,-1.399229
2009m8,-.9804513
2009m9,-.3130068
2009m10,.4706483
2009m11,.8840489
2009m12,.9614905
2010m1,.8287737
2010m2,.7433595
2010m3,.8206204
2010m4,.8989835
2010m5,.739292
2010m6,.4483533
2010m7,.2914141
2010m8,.4791588
2010m9,.7539355
2010m10,.9705397
2010m11,1.135763
2010m12,.9557041
2011m1,.5492383
2011m2,.2750558
2011m3,.1710948
2011m4,.1482405
2011m5,-.0603268
2011m6,-.2292316
2011m7,-.1145712
2011m8,.3538195
2011m9,.9098404
2011m10,1.309622
2011m11,1.323548
2011m12,.986949
2012m1,.6163066
2012m2,.2888894
2012m3,.0997029
2012m4,-.0173105
2012m5,-.2028919
2012m6,-.4448545
2012m7,-.458147
2012m8,-.1364541
2012m9,.2942926
2012m10,.4308878
2012m11,.481676
2012m12,.3652981
2013m1,.1629599
2013m2,.0362895
2013m3,-.0730795
2013m4,-.2434722
2013m5,-.3272415
2013m6,-.3502243
2013m7,-.2085224
2013m8,-.0075637
2013m9,.269291
2013m10,.4736907
2013m11,.5919629
2013m12,.3953473
2014m1,.1609191
2014m2,.0612279
2014m3,.064288
2014m4,-.1002033
2014m5,-.349287
2014m6,-.3602131
2014m7,-.1431273
2014m8,.2670371
2014m9,.7183138
2014m10,.9128529
2014m11,.9484193
2014m12,.8535478
2015m1,.7184867
2015m2,.7103566
2015m3,.6171322
2015m4,.3063954
2015m5,-.0983997
2015m6,-.1412856
2015m7,.139634
2015m8,.5467381
2015m9,.9135804
2015m10,.9909741
2015m11,.9968778
2015m12,.8115007
2016m1,.714024
2016m2,.7649456
2016m3,1.077271
2016m4,1.467064
