date,cat_family_stress
2011m1,.8728178
2011m2,.8566605
2011m3,.8261631
2011m4,.7026572
2011m5,.7579345
2011m6,.8753744
2011m7,.9640452
2011m8,.8272557
2011m9,.5879641
2011m10,.5039257
2011m11,.2134399
2011m12,-.1443122
2012m1,.069672
2012m2,.3808697
2012m3,.4320576
2012m4,.2640927
2012m5,.3586081
2012m6,.8428291
2012m7,1.235063
2012m8,1.007637
2012m9,.145741
2012m10,-.7198615
2012m11,-1.16907
2012m12,-.8222104
2013m1,-.2001287
2013m2,-.1588032
2013m3,-.0622161
2013m4,.2406861
2013m5,.3888722
2013m6,.6104203
2013m7,.806972
2013m8,.5921275
2013m9,-.1985718
2013m10,-.9240837
2013m11,-1.396488
2013m12,-1.391155
2014m1,-.6940372
2014m2,-.206985
2014m3,-.329827
2014m4,-.4719877
2014m5,-.629858
2014m6,-.3971717
2014m7,-.00806
2014m8,-.1330789
2014m9,-.5778972
2014m10,-.9786981
2014m11,-1.288121
2014m12,-1.353655
2015m1,-.9850417
2015m2,-.4912619
2015m3,-.1653774
2015m4,-.0158386
2015m5,.148589
2015m6,.7331063
2015m7,1.271048
2015m8,1.067822
2015m9,.2229586
2015m10,-.6112689
2015m11,-.8769145
2015m12,-.719374
2016m1,-.3224693
2016m2,-.1399706
2016m3,-.0951217
2016m4,-.1284932
