date,cat_social_progress
2011m1,-.6474717
2011m2,-.3846772
2011m3,-.3010004
2011m4,-.5089172
2011m5,-.9762987
2011m6,-1.445065
2011m7,-1.607017
2011m8,-1.310357
2011m9,-.6767842
2011m10,-.2536916
2011m11,-.2011452
2011m12,-.3823964
2012m1,-.2836174
2012m2,.037578
2012m3,.2503498
2012m4,.2869235
2012m5,.0126213
2012m6,-.5975548
2012m7,-.9816937
2012m8,-.8813508
2012m9,-.4973301
2012m10,-.3026182
2012m11,-.4617841
2012m12,-.6706375
2013m1,-.604459
2013m2,-.2910944
2013m3,.0143664
2013m4,.1076365
2013m5,-.1567305
2013m6,-.6439106
2013m7,-.9599223
2013m8,-.8936388
2013m9,-.3662795
2013m10,-.0460529
2013m11,-.0802983
2013m12,-.281254
2014m1,-.223883
2014m2,.0278189
2014m3,.3892623
2014m4,.4683174
2014m5,.0807076
2014m6,-.487272
2014m7,-.8507112
2014m8,-.6301985
2014m9,.1064477
2014m10,.6461834
2014m11,.7829356
2014m12,.8376794
2015m1,.9731004
2015m2,1.064731
2015m3,1.097933
2015m4,.851531
2015m5,.3997261
2015m6,-.0541176
2015m7,-.3284249
2015m8,-.1406231
2015m9,.5622429
2015m10,1.102432
2015m11,1.262421
2015m12,1.081668
2016m1,1.142296
2016m2,1.519196
2016m3,2.202264
2016m4,3.101911
