date,cat_family
2008m1,-1.91194
2008m2,-1.920891
2008m3,-1.926661
2008m4,-1.951034
2008m5,-2.145912
2008m6,-2.276718
2008m7,-2.161038
2008m8,-1.745811
2008m9,-1.183506
2008m10,-.8622694
2008m11,-.8466909
2008m12,-1.002289
2009m1,-1.210024
2009m2,-1.243784
2009m3,-1.238975
2009m4,-1.2582
2009m5,-1.240174
2009m6,-1.208394
2009m7,-1.087763
2009m8,-.7252919
2009m9,-.1787349
2009m10,.2284521
2009m11,.2468285
2009m12,.0483673
2010m1,-.182629
2010m2,-.3551076
2010m3,-.386405
2010m4,-.411417
2010m5,-.5303693
2010m6,-.7327368
2010m7,-.7946271
2010m8,-.5003678
2010m9,.0739746
2010m10,.446101
2010m11,.4351435
2010m12,.3294706
2011m1,.3466991
2011m2,.3266989
2011m3,.2451239
2011m4,.0908731
2011m5,-.0329319
2011m6,-.0858072
2011m7,.0648101
2011m8,.5623175
2011m9,1.284762
2011m10,1.669507
2011m11,1.600313
2011m12,1.402502
2012m1,1.209898
2012m2,1.028975
2012m3,.7959068
2012m4,.5699072
2012m5,.4274673
2012m6,.3289758
2012m7,.4212926
2012m8,.8263785
2012m9,1.339812
2012m10,1.369115
2012m11,1.041994
2012m12,.8810242
2013m1,.8818455
2013m2,.8488257
2013m3,.7508689
2013m4,.5493793
2013m5,.307157
2013m6,.1022049
2013m7,.059525
2013m8,.4334139
2013m9,1.134896
2013m10,1.4824
2013m11,1.282269
2013m12,.8684617
2014m1,.5027465
2014m2,.2829953
2014m3,.1452601
2014m4,-.113414
2014m5,-.3578645
2014m6,-.435754
2014m7,-.3178246
2014m8,.0443048
2014m9,.616583
2014m10,.7993658
2014m11,.6244011
2014m12,.3867204
2015m1,.2614516
2015m2,.1675468
2015m3,.0861274
2015m4,-.1636131
2015m5,-.4622313
2015m6,-.6256798
2015m7,-.5240759
2015m8,-.0353521
2015m9,.540765
2015m10,.7788699
2015m11,.7062944
2015m12,.5944048
2016m1,.5431153
2016m2,.4347603
2016m3,.2788266
2016m4,.2358312
