date,cat_housing
2008m1,2.240832
2008m2,1.666506
2008m3,1.135109
2008m4,.6012291
2008m5,.2219286
2008m6,.0165411
2008m7,-.1400735
2008m8,-.2457589
2008m9,-.1286627
2008m10,.1102108
2008m11,.8188816
2008m12,2.135024
2009m1,2.911414
2009m2,3.028053
2009m3,2.945415
2009m4,2.48199
2009m5,1.791042
2009m6,1.238426
2009m7,.8628913
2009m8,.5730662
2009m9,.3488949
2009m10,.180741
2009m11,.0425612
2009m12,-.0030799
2010m1,.1525321
2010m2,.2526115
2010m3,.3219427
2010m4,.2886459
2010m5,.3369159
2010m6,.5269945
2010m7,.8411442
2010m8,1.048736
2010m9,.9324844
2010m10,.7128508
2010m11,.3331312
2010m12,-.0795262
2011m1,-.2804202
2011m2,-.3603115
2011m3,-.3957165
2011m4,-.4433005
2011m5,-.4229235
2011m6,-.28904
2011m7,-.0191141
2011m8,.378718
2011m9,.4671497
2011m10,.3179524
2011m11,.0615968
2011m12,.0475439
2012m1,.2702325
2012m2,.3903305
2012m3,.312216
2012m4,.2029064
2012m5,.2081571
2012m6,.2525059
2012m7,.2441532
2012m8,.1145117
2012m9,-.0742707
2012m10,-.3058745
2012m11,-.5114146
2012m12,-.5296638
2013m1,-.3379165
2013m2,-.2062889
2013m3,-.1236625
2013m4,-.0900034
2013m5,-.1365747
2013m6,-.2093542
2013m7,-.3839343
2013m8,-.6290905
2013m9,-.8335883
2013m10,-1.010101
2013m11,-1.153086
2013m12,-1.214116
2014m1,-1.145057
2014m2,-1.070511
2014m3,-1.01383
2014m4,-1.004464
2014m5,-.9914823
2014m6,-.9625221
2014m7,-.9415787
2014m8,-.9515951
2014m9,-.981026
2014m10,-1.019469
2014m11,-1.053054
2014m12,-.9564945
2015m1,-.6984308
2015m2,-.5747095
2015m3,-.5449147
2015m4,-.55582
2015m5,-.6070716
2015m6,-.6427664
2015m7,-.6872352
2015m8,-.7814323
2015m9,-.9384655
2015m10,-1.083765
2015m11,-1.174603
2015m12,-1.141927
2016m1,-.9337998
2016m2,-.6776292
2016m3,-.4653669
2016m4,-.210832
