date,swb_job_satisfaction
2011m1,1.644259
2011m2,1.034764
2011m3,.719408
2011m4,.386988
2011m5,-.0521847
2011m6,-.1987647
2011m7,-.2210201
2011m8,-.3077097
2011m9,-.1565201
2011m10,.4427821
2011m11,.7510507
2011m12,.9650398
2012m1,.9072996
2012m2,.882598
2012m3,.6017037
2012m4,.2521755
2012m5,-.0938272
2012m6,-.0535491
2012m7,.2369537
2012m8,.5546154
2012m9,.7891129
2012m10,.9336339
2012m11,.9001917
2012m12,.6195455
2013m1,.5232025
2013m2,.5063666
2013m3,.5170645
2013m4,.4097201
2013m5,.2560054
2013m6,-.1089931
2013m7,-.3083721
2013m8,-.2103019
2013m9,-.1886099
2013m10,.0606032
2013m11,.404929
2013m12,.8759018
2014m1,1.287356
2014m2,1.057153
2014m3,.6771073
2014m4,.0629892
2014m5,-.6853849
2014m6,-1.060251
2014m7,-1.087231
2014m8,-1.311771
2014m9,-1.499762
2014m10,-1.409544
2014m11,-1.062634
2014m12,-.7298816
2015m1,-.3704307
2015m2,-.3132577
2015m3,-.5577332
2015m4,-1.051625
2015m5,-1.694298
2015m6,-2.056958
2015m7,-1.886366
2015m8,-1.533922
2015m9,-1.027745
2015m10,-.6909696
2015m11,-.645394
2015m12,-.7044179
2016m1,-.6437467
2016m2,-.6277646
2016m3,-.6784472
2016m4,-.4666939
