date,cat_education
2011m1,1.424127
2011m2,1.074042
2011m3,.8064312
2011m4,.457249
2011m5,-.0359164
2011m6,-.4016532
2011m7,-.2562405
2011m8,.5837955
2011m9,1.411896
2011m10,1.528843
2011m11,1.170898
2011m12,.6896096
2012m1,.6975247
2012m2,.7660633
2012m3,.6543719
2012m4,.3818372
2012m5,-.2417456
2012m6,-.7604069
2012m7,-.6370273
2012m8,.0827358
2012m9,.7280218
2012m10,.7654042
2012m11,.3798476
2012m12,.0313553
2013m1,.1732183
2013m2,.3418539
2013m3,.1944371
2013m4,-.0791091
2013m5,-.7065803
2013m6,-1.196197
2013m7,-1.09358
2013m8,-.3342929
2013m9,.3724826
2013m10,.3395893
2013m11,-.0541393
2013m12,-.3302562
2014m1,-.2038646
2014m2,-.0739997
2014m3,-.1475877
2014m4,-.3951115
2014m5,-.9235381
2014m6,-1.242197
2014m7,-1.005065
2014m8,-.1636742
2014m9,.5642632
2014m10,.5903571
2014m11,.192865
2014m12,-.1799858
2015m1,-.0959192
2015m2,.0491675
2015m3,-.0515976
2015m4,-.4295677
2015m5,-1.126594
2015m6,-1.52771
2015m7,-1.232696
2015m8,-.3639719
2015m9,.3142841
2015m10,.2442107
2015m11,-.1937806
2015m12,-.5192573
2016m1,-.360646
2016m2,-.1395327
2016m3,-.1966746
2016m4,-.310665
