date,cat_health_conditions
2011m1,.5874395
2011m2,.5039203
2011m3,.548717
2011m4,.5388789
2011m5,.1071177
2011m6,-.2792941
2011m7,-.5305727
2011m8,-.543794
2011m9,-.3272437
2011m10,-.0918146
2011m11,-.0195292
2011m12,-.3266038
2012m1,-.0178632
2012m2,.7210764
2012m3,.9702469
2012m4,.7805142
2012m5,.1131705
2012m6,-.3567311
2012m7,-.5718585
2012m8,-.3810884
2012m9,-.021647
2012m10,-.0657591
2012m11,-.4464628
2012m12,-.8462562
2013m1,-.5282953
2013m2,.2729174
2013m3,.7200885
2013m4,.7201629
2013m5,.0181497
2013m6,-.8100893
2013m7,-1.21931
2013m8,-.9685593
2013m9,-.434824
2013m10,-.0579411
2013m11,-.1711581
2013m12,-.4328762
2014m1,-.2870106
2014m2,.081079
2014m3,.1470202
2014m4,-.1274451
2014m5,-.6046547
2014m6,-.9151312
2014m7,-.9096951
2014m8,-.5870779
2014m9,.0396885
2014m10,.1531147
2014m11,-.1946702
2014m12,-.6461304
2015m1,-.4102084
2015m2,.1784791
2015m3,.5205876
2015m4,.2246784
2015m5,-.5150532
2015m6,-.7628133
2015m7,-.4834554
2015m8,.0424955
2015m9,.7838986
2015m10,.8809978
2015m11,.6509497
2015m12,.4198528
2016m1,.7250103
2016m2,1.280596
2016m3,1.48488
2016m4,1.677189
