date,cat_housing
2011m1,.8239464
2011m2,.229718
2011m3,-.0323976
2011m4,.0275802
2011m5,.3007298
2011m6,.655254
2011m7,.9992483
2011m8,1.508893
2011m9,1.623288
2011m10,1.657231
2011m11,1.340925
2011m12,1.274966
2012m1,1.475075
2012m2,1.398424
2012m3,1.133634
2012m4,.8882389
2012m5,1.007519
2012m6,1.253019
2012m7,1.312554
2012m8,1.020944
2012m9,.6159881
2012m10,.2431328
2012m11,-.02401
2012m12,-.0214992
2013m1,.2957105
2013m2,.392882
2013m3,.4098863
2013m4,.4932221
2013m5,.5671161
2013m6,.6444429
2013m7,.4828712
2013m8,-.0210186
2013m9,-.5864306
2013m10,-1.001789
2013m11,-1.243419
2013m12,-1.252924
2014m1,-1.043778
2014m2,-.8921544
2014m3,-.8444933
2014m4,-.9097423
2014m5,-.8707317
2014m6,-.7544507
2014m7,-.7898452
2014m8,-.8755159
2014m9,-1.06239
2014m10,-1.186686
2014m11,-1.235259
2014m12,-.9913964
2015m1,-.5051844
2015m2,-.272436
2015m3,-.279562
2015m4,-.3467304
2015m5,-.3046976
2015m6,-.1979212
2015m7,-.2913392
2015m8,-.6183067
2015m9,-1.009801
2015m10,-1.209011
2015m11,-1.333703
2015m12,-1.275445
2016m1,-.9405292
2016m2,-.50901
2016m3,.0199602
2016m4,.637206
