date,cat_civic_engagement
2008m1,.0419752
2008m2,.2788749
2008m3,.2773825
2008m4,.0811327
2008m5,-.1822925
2008m6,-.4862287
2008m7,-.548579
2008m8,.0033161
2008m9,.9728617
2008m10,1.52648
2008m11,1.128595
2008m12,.5553584
2009m1,.2847053
2009m2,.3090849
2009m3,.4728768
2009m4,.4264861
2009m5,.0831341
2009m6,-.3897188
2009m7,-.4520794
2009m8,-.0197265
2009m9,.8439395
2009m10,1.582758
2009m11,1.780526
2009m12,1.569062
2010m1,1.618214
2010m2,2.034322
2010m3,2.473751
2010m4,2.349427
2010m5,1.787668
2010m6,1.080744
2010m7,.5814109
2010m8,.6339476
2010m9,.9996518
2010m10,1.205809
2010m11,.9610097
2010m12,.6179374
2011m1,.4524153
2011m2,.5307126
2011m3,.5915977
2011m4,.4161111
2011m5,.0753689
2011m6,-.3848321
2011m7,-.7542647
2011m8,-.6737184
2011m9,-.1652612
2011m10,.1865258
2011m11,.0767049
2011m12,-.3599214
2012m1,-.4488544
2012m2,-.2595245
2012m3,-.1834999
2012m4,-.2836784
2012m5,-.5291209
2012m6,-.8180832
2012m7,-.9060926
2012m8,-.6081518
2012m9,.0063046
2012m10,.3339563
2012m11,.1908018
2012m12,-.2460539
2013m1,-.5131181
2013m2,-.4060698
2013m3,-.1179123
2013m4,-.0340241
2013m5,-.3592938
2013m6,-.93563
2013m7,-1.324679
2013m8,-1.230752
2013m9,-.7172192
2013m10,-.3786942
2013m11,-.4203566
2013m12,-.5703325
2014m1,-.5860448
2014m2,-.5183071
2014m3,-.5964531
2014m4,-.7310548
2014m5,-1.035911
2014m6,-1.392183
2014m7,-1.524856
2014m8,-1.225068
2014m9,-.5654011
2014m10,-.1954735
2014m11,-.3043175
2014m12,-.5960824
2015m1,-.6626737
2015m2,-.4971833
2015m3,-.3541485
2015m4,-.3211633
2015m5,-.5835674
2015m6,-.9155768
2015m7,-1.081406
2015m8,-.8733438
2015m9,-.3499988
2015m10,-.0994235
2015m11,-.1969385
2015m12,-.3525785
2016m1,-.259744
2016m2,-.0585679
2016m3,.0254009
2016m4,.1368876
