date,swb_laugh
2011m1,-.9756442
2011m2,-.9817838
2011m3,-.6857458
2011m4,-.2241711
2011m5,.0767672
2011m6,.0038142
2011m7,-.3205523
2011m8,-.6531968
2011m9,-.695213
2011m10,-.4191219
2011m11,-.0984839
2011m12,.1142645
2012m1,.237544
2012m2,.4736825
2012m3,.8490658
2012m4,.9940862
2012m5,1.040217
2012m6,.8257328
2012m7,.3136896
2012m8,-.1521486
2012m9,-.5077112
2012m10,-.4846747
2012m11,-.5091798
2012m12,-.7459995
2013m1,-.9593182
2013m2,-.5844839
2013m3,-.065086
2013m4,.2779222
2013m5,.5383236
2013m6,.7412031
2013m7,.7983534
2013m8,.546612
2013m9,.3084869
2013m10,.3982767
2013m11,.3651408
2013m12,-.2098392
2014m1,-1.182376
2014m2,-1.575929
2014m3,-1.341948
2014m4,-.8186954
2014m5,-.3389929
2014m6,-.3081836
2014m7,-.4555201
2014m8,-.9263767
2014m9,-1.502119
2014m10,-1.497753
2014m11,-1.212269
2014m12,-1.253183
2015m1,-1.658208
2015m2,-1.74765
2015m3,-1.823523
2015m4,-1.579224
2015m5,-1.01633
2015m6,-.4147139
2015m7,-.1911297
2015m8,-.6499864
2015m9,-1.317041
2015m10,-1.377517
2015m11,-1.088337
2015m12,-.7007986
2016m1,-.6774401
2016m2,-.9343761
2016m3,-1.493606
2016m4,-1.968758
