date,swb_security
2008m1,.0611665
2008m2,.290377
2008m3,.3989088
2008m4,.553055
2008m5,.742088
2008m6,.7054242
2008m7,.4339087
2008m8,-.095544
2008m9,-.8109589
2008m10,-1.085418
2008m11,-.7228309
2008m12,-.3208884
2009m1,-.0034224
2009m2,.0802782
2009m3,.1006352
2009m4,.3674889
2009m5,.7052158
2009m6,.916558
2009m7,.7795087
2009m8,.4892855
2009m9,.145116
2009m10,.137475
2009m11,.4824598
2009m12,.8368713
2010m1,1.070441
2010m2,1.150737
2010m3,1.018501
2010m4,1.032647
2010m5,1.040179
2010m6,.99086
2010m7,.8757809
2010m8,.5781863
2010m9,.3920516
2010m10,.3223506
2010m11,.4433422
2010m12,.7475337
2011m1,1.136535
2011m2,1.393124
2011m3,1.652099
2011m4,1.687125
2011m5,1.656597
2011m6,1.576289
2011m7,1.452357
2011m8,1.317037
2011m9,1.191089
2011m10,1.127702
2011m11,1.292214
2011m12,1.491966
2012m1,1.766505
2012m2,1.980498
2012m3,2.214576
2012m4,2.310263
2012m5,2.331742
2012m6,2.186341
2012m7,1.953565
2012m8,1.681299
2012m9,1.391692
2012m10,1.191864
2012m11,1.240582
2012m12,1.473923
2013m1,1.832543
2013m2,2.186068
2013m3,2.418132
2013m4,2.573168
2013m5,2.581382
2013m6,2.412652
2013m7,2.2785
2013m8,2.038484
2013m9,1.768987
2013m10,1.551347
2013m11,1.596218
2013m12,1.835069
2014m1,2.259248
2014m2,2.51565
2014m3,2.681836
2014m4,2.742793
2014m5,2.658611
2014m6,2.373795
2014m7,2.109532
2014m8,2.032216
2014m9,2.126413
2014m10,2.214664
2014m11,2.319944
2014m12,2.339615
2015m1,2.390995
2015m2,2.436746
2015m3,2.528295
2015m4,2.642202
2015m5,2.721266
2015m6,2.554425
2015m7,2.300996
2015m8,2.172548
2015m9,2.145628
2015m10,2.138403
2015m11,2.160115
2015m12,2.409115
2016m1,2.809954
2016m2,2.992382
2016m3,2.786072
2016m4,2.316692
