date,cat_healthy_habits
2008m1,.1940732
2008m2,-.4120608
2008m3,-.8355089
2008m4,-1.168921
2008m5,-1.515107
2008m6,-1.627123
2008m7,-1.626046
2008m8,-1.685187
2008m9,-1.718605
2008m10,-1.647286
2008m11,-1.357665
2008m12,-.8855772
2009m1,-.3304129
2009m2,-.0310536
2009m3,-.0991463
2009m4,-.2472564
2009m5,-.4506168
2009m6,-.6069086
2009m7,-.666876
2009m8,-.7434105
2009m9,-.5963244
2009m10,-.2499862
2009m11,.126893
2009m12,.718948
2010m1,1.610486
2010m2,1.96123
2010m3,1.820571
2010m4,1.265593
2010m5,.6521626
2010m6,.1678907
2010m7,-.086869
2010m8,-.2442833
2010m9,-.2663248
2010m10,-.2948922
2010m11,-.1257721
2010m12,.1805899
2011m1,.6419798
2011m2,.7374102
2011m3,.6159576
2011m4,.3589267
2011m5,.0956704
2011m6,-.1578039
2011m7,-.4913264
2011m8,-.8177422
2011m9,-.989004
2011m10,-1.132855
2011m11,-1.064765
2011m12,-.48098
2012m1,.5003807
2012m2,.9396018
2012m3,.9404311
2012m4,.7484186
2012m5,.5252622
2012m6,.2739517
2012m7,-.0145064
2012m8,-.3060595
2012m9,-.5699917
2012m10,-.7740688
2012m11,-.7128798
2012m12,-.1984084
2013m1,.8776809
2013m2,1.416343
2013m3,1.457403
2013m4,1.111997
2013m5,.7165756
2013m6,.3478061
2013m7,-.0734059
2013m8,-.3907891
2013m9,-.636022
2013m10,-.7361169
2013m11,-.6936871
2013m12,-.3143605
2014m1,.5412599
2014m2,1.011011
2014m3,1.180211
2014m4,1.109523
2014m5,.8624958
2014m6,.6132488
2014m7,.1775141
2014m8,-.3267626
2014m9,-.6197422
2014m10,-.7603074
2014m11,-.6648528
2014m12,-.204131
2015m1,.5701292
2015m2,.9792114
2015m3,1.083611
2015m4,.8475061
2015m5,.4096326
2015m6,.1080145
2015m7,-.1779664
2015m8,-.4418392
2015m9,-.5678675
2015m10,-.6432527
2015m11,-.508305
2015m12,.0050703
2016m1,.8753497
2016m2,1.196638
2016m3,1.201241
2016m4,1.213118
