date,cat_layoffs
2011m1,1.111138
2011m2,.6265082
2011m3,.3142115
2011m4,.4356199
2011m5,.3037918
2011m6,.0678314
2011m7,.0661719
2011m8,.002931
2011m9,-.0278388
2011m10,-.0313654
2011m11,.0046721
2011m12,.0145943
2012m1,.2377273
2012m2,.2590616
2012m3,.0115747
2012m4,-.0747538
2012m5,-.1421413
2012m6,-.3805166
2012m7,-.5515926
2012m8,-.0882974
2012m9,1.06978
2012m10,2.047969
2012m11,2.247719
2012m12,1.379129
2013m1,.7008073
2013m2,.3926261
2013m3,.2657185
2013m4,.1919634
2013m5,.0240638
2013m6,-.1673581
2013m7,-.120568
2013m8,.3286685
2013m9,.5428331
2013m10,.3439496
2013m11,-.1188711
2013m12,-.0405083
2014m1,.6667461
2014m2,.8670969
2014m3,.7961029
2014m4,.6032685
2014m5,.2486468
2014m6,-.3797843
2014m7,-.7112717
2014m8,-.8769151
2014m9,-.7175897
2014m10,-.6640462
2014m11,-.9138604
2014m12,-.9659423
2015m1,-.8488373
2015m2,-.961811
2015m3,-1.047961
2015m4,-1.078721
2015m5,-1.157576
2015m6,-1.060678
2015m7,-.9531258
2015m8,-.9419361
2015m9,-.6621239
2015m10,-.3710314
2015m11,-.2374468
2015m12,-.170768
2016m1,.1471303
2016m2,.125179
2016m3,.0096097
2016m4,.010398
